ACC_ID	STY_count	countS	countT	countY
Q9HC47	10	5	3	2
O43246	108	57	30	21
Q96HY6	27	13	10	4
A6NGE4	104	52	35	17
Q9Y4B6	230	115	79	36
P0C7V8	108	57	35	16
A8MYV0	44	13	18	13
Q6PH85	33	14	12	7
P04440	40	15	17	8
Q14185	279	116	98	65
Q15392	70	24	22	24
Q9UK85	35	23	10	2
O60231	150	61	56	33
O76075	56	30	13	13
Q9NYJ7	73	43	20	10
P30046	16	9	7	0
P23743	107	50	36	21
Q14565	44	15	22	7
Q9BQC3	60	34	17	9
Q9UFH2	610	234	241	135
Q6ZTU2	74	45	24	5
Q9HCM4	121	61	45	15
Q9C0G6	612	252	225	135
Q9HCS5	137	68	41	28
Q9Y2E6	112	50	43	19
Q92630	94	42	34	18
P0DPD8	139	65	42	32
Q6V1X1	156	63	44	49
A2CJ06	94	52	31	11
Q16643	87	43	35	9
O00716	84	46	27	11
Q96T75	13	9	3	1
Q15329	54	33	15	6
P79483	47	22	16	9
Q8TE96	95	55	23	17
P0CG22	41	21	18	2
O75521	64	32	23	9
Q9NR33	11	4	6	1
Q9HCU8	10	3	4	3
P61566	94	47	36	11
Q5T2N8	55	21	24	10
Q8TBG4	73	29	27	17
Q13825	32	19	8	5
Q15582	106	41	46	19
A2RUR9	208	112	67	29
Q9P2K1	234	110	78	46
Q86VB7	176	113	54	9
P61769	24	13	5	6
Q96HJ3	46	31	7	8
Q8TC20	121	66	38	17
Q8IV32	71	37	29	5
P30988	72	20	26	26
Q96AQ1	54	41	12	1
Q52MB2	22	14	7	1
Q96LT6	42	24	12	6
Q6ZUS5	37	16	15	6
Q5VVS0	22	11	10	1
Q8NEQ5	32	16	12	4
P63098	16	10	3	3
Q8N813	50	29	10	11
Q5JTW2	109	63	38	8
Q96G23	61	23	16	22
P61604	12	5	4	3
Q8N365	82	49	28	5
D6RIA3	369	231	112	26
Q8NAA6	32	22	8	2
P28906	104	50	46	8
Q16280	99	32	37	30
O15247	34	12	13	9
Q9H8M5	136	62	51	23
P29973	110	48	31	31
Q9NRU3	151	72	55	24
P51911	44	14	18	12
Q9NZN8	116	60	37	19
Q13057	85	40	28	17
Q96B33	43	24	11	8
P26441	30	13	12	5
Q8N137	131	83	39	9
Q9UH73	112	60	37	15
O95471	36	18	9	9
Q9P2B4	129	76	45	8
Q5SWW7	22	13	8	1
Q6UUV7	127	86	33	8
Q9BSJ5	120	62	49	9
Q9H3G5	76	27	20	29
P09603	102	64	32	6
A0A1B0GUU1	78	42	24	12
P13073	26	16	5	5
P24903	74	38	26	10
P22792	84	39	35	10
Q5VWQ8	212	126	61	25
Q9HCS2	70	35	25	10
P0DPH9	22	11	10	1
P99999	14	2	7	5
P52569	118	55	37	26
Q3SXM0	69	43	16	10
Q30KQ6	12	2	5	5
A0PJW8	12	3	7	2
Q9NVH1	90	41	30	19
Q9BVM2	29	12	10	7
A0A0U1RQF7	22	8	9	5
Q9UBM7	75	21	25	29
Q92506	36	19	15	2
Q9Y238	306	162	100	44
Q9P2X0	13	4	6	3
Q8WXX0	597	262	203	132
Q8TE73	671	279	262	130
P0CJ85	40	25	12	3
Q86UW9	128	62	45	21
Q92527	31	12	8	11
O95433	53	17	29	7
Q96NW4	165	94	45	26
Q8N726	7	4	3	0
Q9BPW4	50	22	23	5
Q8IZ07	93	40	39	14
Q6Q788	42	22	15	5
Q9UKU9	78	27	26	25
P28039	94	51	25	18
Q6PL18	223	119	69	35
Q04656	263	133	99	31
P62324	36	19	10	7
O14503	68	39	19	10
Q6UXG8	71	43	16	12
Q9HBH7	9	6	1	2
Q5PSV4	57	29	15	13
Q7Z5Y6	44	23	12	9
P02745	33	18	9	6
P17213	82	45	23	14
Q15059	125	74	34	17
P25440	142	89	34	19
Q8N4F0	75	39	29	7
O75531	7	3	3	1
Q8WXS5	74	39	22	13
Q86X55	123	61	39	23
H3BNL1	31	16	6	9
Q9P1Z9	254	135	87	32
P55286	128	57	48	23
Q49A92	91	65	21	5
Q96JN2	172	101	45	26
O14647	281	165	66	50
Q15642	87	53	21	13
Q96MT7	257	121	87	49
Q8TCG1	146	75	58	13
P11597	89	47	32	10
P51685	76	32	23	21
P28907	46	24	17	5
Q8IYR0	106	34	49	23
A6NFT4	18	7	10	1
Q86U02	24	13	6	5
Q32M92	27	14	10	3
O95833	33	14	12	7
P02461	119	73	31	15
Q8IVM7	23	10	12	1
Q7Z7L8	57	40	13	4
Q8IYJ2	90	58	24	8
Q7Z460	310	193	88	29
Q8N4M7	23	13	6	4
Q9NX09	52	39	10	3
P19113	102	57	31	14
Q5VW00	68	35	19	14
O14576	108	53	39	16
O95786	128	52	46	30
P81605	10	7	2	1
P11926	71	33	21	17
Q15038	32	9	11	12
Q5T197	103	44	36	23
Q9UIK4	52	27	17	8
Q9UN19	54	23	20	11
Q99543	75	35	28	12
Q6P3W2	24	12	4	8
O94907	45	23	13	9
Q9Y2E4	265	123	101	41
Q9NW81	27	13	5	9
P09417	39	19	17	3
Q9NZJ0	164	102	48	14
Q9H4G0	164	78	65	21
Q9NP58	132	54	51	27
Q8N961	178	101	47	30
Q8WWZ4	244	116	82	46
U3KPV4	34	14	12	8
Q15027	90	52	29	9
Q86TX2	45	15	16	14
P16219	56	25	22	9
P47898	66	34	22	10
A5X5Y0	75	35	28	12
P78363	356	157	134	65
Q96AK3	58	19	18	21
P42025	55	24	18	13
P10109	32	18	12	2
P12814	112	36	50	26
Q9Y672	86	43	24	19
O60218	40	16	13	11
Q9NR19	111	40	44	27
Q9UEY8	120	61	39	20
Q9P0M2	41	22	12	7
O43299	130	75	44	11
Q4KMQ2	140	47	47	46
Q8N283	113	73	31	9
Q92667	159	94	49	16
Q9NXR5	73	41	25	7
E5RJM6	32	13	19	0
O15143	63	37	20	6
Q02410	127	67	31	29
Q9P2S6	151	73	46	32
O95671	82	35	29	18
Q96KQ4	174	94	57	23
Q9NWL6	90	57	22	11
P54707	166	70	64	32
Q8N9N2	60	28	19	13
O75185	139	70	55	14
Q5TBC7	24	13	9	2
P62952	13	7	2	4
Q14457	70	29	30	11
Q9BUT1	32	14	13	5
Q8N4J0	59	27	16	16
Q7LBR1	28	13	15	0
Q96KN9	53	33	14	6
Q9NWM3	54	34	12	8
Q9GZR7	120	53	52	15
O43602	78	45	22	11
Q5VU92	66	34	17	15
Q9NR90	111	27	30	54
Q1HG44	56	22	22	12
Q1HG43	65	26	26	13
Q12959	158	82	48	28
Q96HP0	320	163	104	53
Q9BSY9	35	20	6	9
Q9H329	158	74	63	21
P0DKL9	19	9	5	5
Q15067	108	41	41	26
Q9NX38	37	17	13	7
Q676U5	93	54	32	7
Q15018	85	52	17	16
Q9NUZ1	77	27	31	19
O00400	96	39	35	22
P07327	49	23	22	4
P33121	89	32	37	20
P28332	53	25	23	5
Q9H4A4	90	38	27	25
Q8IUX7	168	48	83	37
Q53H80	42	22	13	7
Q9UHX3	157	76	62	19
Q86SQ3	85	38	30	17
Q9HAR2	295	126	107	62
P78536	131	64	41	26
A6NHY2	59	31	23	5
Q9H9E1	54	26	20	8
Q9BYV1	70	31	28	11
Q6NXT1	33	17	14	2
Q8N4G2	28	10	14	4
Q8IWT0	25	7	10	8
Q7Z6V5	23	10	8	5
Q8NFD5	400	259	72	69
Q92485	70	24	25	21
Q7L266	38	15	19	4
Q9H7T9	65	35	27	3
Q8TE56	156	74	58	24
O43521	33	21	6	6
Q6NZY7	12	9	3	0
Q9P203	207	109	62	36
O43683	164	85	49	30
O60238	42	37	3	2
O95861	46	18	16	12
Q9NY43	80	46	26	8
P80098	18	6	10	2
Q9H0E9	203	125	63	15
Q2TAC2	100	59	35	6
P45973	27	15	7	5
P55773	23	12	9	2
Q9BX69	177	107	53	17
P47756	44	24	10	10
Q5VVC0	36	19	12	5
A8MX76	93	47	26	20
O15484	92	41	32	19
Q9UNI1	60	28	18	14
P19397	35	18	10	7
P10966	33	16	13	4
Q96LM5	37	19	8	10
Q86TU6	16	9	6	1
Q13956	11	4	7	0
Q00610	218	83	66	69
O95406	23	4	7	12
Q4W5N1	24	9	12	3
P86434	27	14	11	2
Q9Y305	66	37	21	8
P31946	42	19	12	11
P46098	81	35	25	21
Q4L235	207	106	66	35
P07311	12	5	5	2
Q9Y6Z5	36	26	9	1
Q9UKU0	92	36	34	22
P51828	155	67	55	33
P00813	50	17	17	16
P78325	107	50	38	19
P24588	73	45	26	2
P15514	45	27	8	10
Q8NB46	152	69	60	23
O95154	50	18	19	13
P17342	83	41	22	20
P08133	101	40	38	23
A6NGH8	74	27	32	15
P59780	19	9	4	6
Q9NUS5	19	10	8	1
Q96BJ3	40	14	19	7
Q68CP9	336	189	120	27
Q8WXG9	1100	499	434	167
A5PLL1	95	57	29	9
Q7L4S7	38	22	12	4
Q8NBQ7	43	21	17	5
Q69YU3	74	42	26	6
P61158	62	21	23	18
P82987	269	126	104	39
Q86WG3	55	25	19	11
Q9ULK2	214	158	47	9
Q8WWH4	66	29	31	6
Q07817	40	23	11	6
Q9BWV1	204	97	71	36
O14613	35	21	13	1
Q00587	68	45	20	3
Q6ZSU1	22	7	8	7
P54132	281	157	90	34
P78396	77	27	26	24
Q14032	56	23	19	14
Q8IVL8	80	35	23	22
O60359	69	37	21	11
Q96S94	91	59	17	15
Q6UXH8	62	23	22	17
P00915	52	30	14	8
P25067	60	22	22	16
Q8TAZ6	19	12	3	4
O75508	33	10	15	8
A8MTZ7	47	31	14	2
Q8TEF2	23	14	8	1
Q8IUH2	44	27	11	6
Q96S95	9	7	1	1
Q96A83	60	29	23	8
Q8WYN3	126	77	33	16
Q9Y442	41	24	11	6
Q96M42	26	18	6	2
Q6UX04	61	34	18	9
P16410	42	15	17	10
Q14118	165	68	82	15
P35659	66	42	19	5
Q8IV53	128	85	35	8
P59666	8	3	2	3
Q6RW13	27	13	8	6
Q8NBF6	110	54	37	19
Q9UKP5	195	91	63	41
P16278	114	42	39	33
Q8NFJ9	89	39	35	15
A6NLJ0	43	30	11	2
P55957	29	17	9	3
P46379	174	92	67	15
Q7Z5L3	42	17	13	12
Q9BUH8	115	66	25	24
Q16581	88	47	29	12
Q13166	10	5	4	1
O75909	80	32	27	21
O95067	62	26	22	14
Q13112	112	54	45	13
Q86UP0	121	60	42	19
Q5JPI3	41	19	15	7
Q86Z20	75	49	17	9
P06881	18	12	5	1
Q9HD42	30	17	12	1
Q99643	25	14	7	4
Q5VTT2	47	21	14	12
A6H8M9	141	64	60	17
Q6UY09	126	67	45	14
O60563	158	90	53	15
O95170	119	57	40	22
P21854	78	41	26	11
Q96N23	527	259	162	106
Q9UL16	45	23	18	4
Q9NYJ1	9	6	3	0
Q49AH0	26	10	10	6
O14519	26	14	6	6
O76039	213	130	56	27
O14967	67	32	20	15
Q9NXG0	217	126	73	18
P51788	136	66	53	17
P13671	163	83	53	27
Q96A22	25	10	11	4
Q86T13	84	49	30	5
Q9Y271	62	26	21	15
Q8N6V4	5	1	1	3
Q6PI97	29	23	3	3
Q05048	91	39	33	19
Q96S65	104	78	21	5
Q8WW18	19	11	6	2
Q9UBW8	38	17	14	7
Q6JBY9	62	44	17	1
P43320	34	19	6	9
Q32NC0	52	29	18	5
Q17RW2	199	90	79	30
K7EIQ3	16	9	6	1
P0DML2	41	20	13	8
Q6PUV4	7	2	3	2
Q6UW02	78	36	29	13
Q5T3F8	138	53	49	36
P01036	21	8	7	6
Q9NTM9	40	24	13	3
A6NKP2	60	23	23	14
Q96LI9	50	23	15	12
Q9H5V9	29	10	11	8
Q6YFQ2	15	6	4	5
P35212	54	26	16	12
Q9HCG8	167	106	38	23
O94760	35	18	11	6
Q9UJW0	68	28	24	16
Q99259	91	37	35	19
Q30KQ4	23	13	5	5
A8MXU0	8	4	4	0
O95822	67	34	20	13
Q8IZD4	106	52	40	14
P59910	38	13	16	9
Q8IXB1	119	45	39	35
P37059	62	27	19	16
P18858	135	72	45	18
Q13609	55	28	15	12
Q8WXX5	32	16	6	10
Q9H7D0	312	139	102	71
Q7L591	73	40	24	9
O75907	66	33	13	20
Q14562	184	76	74	34
Q9P1J3	10	6	3	1
Q86TL0	76	43	18	15
P07307	42	24	13	5
Q01814	174	78	75	21
Q13510	64	19	30	15
Q9NW68	79	44	28	7
P59051	16	9	7	0
Q12983	49	35	12	2
Q14692	159	82	50	27
Q6P047	31	8	17	6
Q9UMQ6	108	55	35	18
Q9Y232	101	55	37	9
Q9H5F2	32	11	12	9
Q9BQM9	14	9	3	2
B7Z368	20	12	6	2
Q9UQC9	170	81	62	27
Q10570	228	97	83	48
Q92905	60	25	18	17
A8MV24	26	9	8	9
Q8N9M1	86	48	35	3
P61923	28	13	7	8
P33260	70	31	25	14
Q96JB2	137	61	53	23
Q14061	3	2	1	0
P49447	36	14	11	11
O75553	108	54	42	12
Q15438	45	14	19	12
Q8IWT3	381	208	117	56
Q9UIA0	51	23	18	10
Q9H2A7	53	28	17	8
Q9H7T0	215	97	75	43
P0DP73	10	4	5	1
Q7Z388	131	48	38	45
P00156	77	29	31	17
A6NM66	27	17	9	1
Q6XXX2	30	20	8	2
Q13617	125	50	38	37
P14406	12	3	5	4
O60931	66	29	22	15
Q6PD62	167	86	35	46
P78358	20	11	8	1
Q8IX94	118	67	32	19
Q8IWF6	87	33	34	20
P0CG12	73	48	24	1
Q9P2X7	6	3	2	1
Q9UKB3	32	17	10	5
Q5F1R6	70	34	17	19
Q8NF50	348	178	106	64
Q09013	71	29	25	17
Q8TDM6	314	190	84	40
P56179	38	22	9	7
Q9NPC4	52	19	21	12
Q9NUQ8	92	49	25	18
P08195	97	62	26	9
P28566	80	31	34	15
O95264	81	41	22	18
Q96GX2	10	5	2	3
Q99798	108	40	45	23
P31947	39	19	10	10
Q8NB90	123	61	44	18
Q8WXI4	93	48	30	15
Q8TDG2	57	28	17	12
P42568	143	114	23	6
Q0VDE8	9	6	2	1
P62736	66	26	24	16
Q86UN6	35	14	12	9
Q5JQC9	147	93	34	20
Q86SG2	23	9	10	4
Q0VD83	131	72	54	5
Q7Z628	97	56	28	13
Q15041	25	10	9	6
Q7Z2E3	46	28	10	8
Q5H913	50	26	18	6
Q96BM1	31	16	8	7
Q8WZ64	304	170	88	46
Q8WWN8	246	133	88	25
Q8NHH9	81	32	29	20
O15265	192	141	44	7
Q96G97	83	43	22	18
Q5W0U4	52	31	17	4
Q6W2J9	325	184	90	51
Q9H6U6	188	104	65	19
O75815	125	70	40	15
Q9H694	201	123	62	16
Q8NFJ8	68	58	4	6
P02747	34	12	12	10
O00622	57	26	22	9
Q969G5	28	18	10	0
Q8N4L8	34	26	5	3
O95561	33	16	13	4
Q8NDD1	43	26	13	4
Q8IWD4	39	23	14	2
P33151	132	47	56	29
Q9Y2D0	50	23	18	9
Q96CF2	30	18	11	1
Q96KT6	21	15	4	2
Q8N6W0	76	35	29	12
Q9UEE9	46	32	11	3
Q8N884	73	41	21	11
Q9H7E9	27	15	10	2
O75596	26	13	10	3
P82279	250	123	84	43
Q5W188	26	10	10	6
Q9NZV1	144	66	53	25
Q9Y6V7	56	21	28	7
Q96PD2	150	62	58	30
Q9UER7	132	88	31	13
Q9UDY4	48	25	12	11
P20036	33	10	18	5
P16444	64	32	21	11
P14061	40	18	16	6
Q9NQL9	91	58	22	11
Q92608	288	122	95	71
Q96SE0	66	26	24	16
Q15057	113	67	28	18
Q8N9L9	44	21	10	13
Q9UNQ0	116	56	38	22
Q9Y2T4	83	42	26	15
Q96P50	118	77	28	13
Q9H2F3	51	12	23	16
Q5SQ80	112	56	38	18
P34969	73	34	24	15
Q16537	71	37	19	15
Q8IUX4	64	21	17	26
P55196	290	146	95	49
O95573	118	49	40	29
O95081	93	58	31	4
Q9NUN7	50	14	18	18
P37023	72	34	27	11
P31751	74	26	29	19
Q7Z4H4	19	15	3	1
Q5T1N1	164	91	55	18
P15144	182	78	64	40
Q02040	88	58	22	8
Q7Z713	18	11	7	0
P14550	42	16	12	14
P25054	653	436	167	50
P02656	19	12	5	2
O43747	137	60	56	21
P62330	26	6	13	7
Q96IT6	9	3	6	0
O75143	104	54	37	13
P78348	76	28	24	24
Q9NVT9	46	26	16	4
O95704	68	43	17	8
Q9UN42	58	22	16	20
O94823	269	131	97	41
P18848	58	33	18	7
Q9Y2G3	211	90	80	41
O95450	171	84	56	31
O15072	200	96	62	42
Q8TE57	211	113	61	37
O75061	170	91	54	25
P06576	72	26	33	13
P18859	14	8	4	2
Q9BSF8	93	54	21	18
Q13867	59	23	21	15
Q9NY30	36	20	9	7
Q53TS8	111	57	35	19
O95429	115	57	23	35
P04040	70	25	24	21
O96024	49	27	14	8
Q6ZNE5	92	53	26	13
Q9H9S4	44	19	16	9
P16152	36	17	16	3
Q9NYX4	30	12	11	7
Q8N5C1	56	28	19	9
P57796	33	16	14	3
Q8NEF3	45	20	19	6
Q96LZ3	19	12	4	3
Q8IYE0	88	36	36	16
O14569	37	21	9	7
Q96CB5	22	15	5	2
Q9BUW7	8	6	1	1
Q49AR2	77	36	27	14
O15182	14	6	6	2
Q9GZX3	59	34	17	8
Q4VX62	25	16	5	4
Q9UNE7	35	17	6	12
Q8NCH0	38	15	6	17
Q15762	74	29	29	16
P49336	71	28	23	20
Q5ZPR3	92	44	38	10
P42773	13	4	8	1
H3BRN8	30	12	14	4
Q9H7U1	178	105	50	23
Q96NY7	69	42	18	9
O96005	121	50	38	33
P49760	101	51	19	31
Q6UXG3	68	35	25	8
P20849	74	42	26	6
Q9BUJ0	37	17	13	7
Q13085	349	160	109	80
Q9NRA8	171	117	42	12
P43681	103	50	37	16
P62258	36	14	10	12
Q04844	71	28	28	15
P43652	86	35	34	17
Q8TCU4	914	523	300	91
Q8WWZ7	294	146	84	64
Q08AH1	92	40	35	17
Q7Z695	75	42	24	9
C9J202	33	18	11	4
Q99218	23	9	8	6
O43306	161	71	54	36
Q2TAA5	70	32	18	20
Q9BZ11	93	47	35	11
Q8IVF2	779	543	223	13
P58335	72	39	22	11
Q13023	484	315	126	43
Q7L311	93	42	38	13
O75179	488	272	186	30
P53680	16	2	6	8
Q96DR7	161	96	47	18
P05089	51	20	22	9
Q400G9	72	46	19	7
Q63HQ0	58	34	16	8
A6NCL7	62	27	26	9
P61160	53	15	22	16
Q9GZV1	31	11	18	2
Q9Y679	63	34	25	4
P58397	275	135	104	36
P20648	147	57	60	30
Q9BZR8	56	34	15	7
Q9NYF8	225	151	42	32
Q96Q07	111	57	32	22
Q8ND07	64	28	26	10
Q13075	211	121	53	37
Q9H0C5	73	30	31	12
Q6UXY1	103	64	23	16
Q5TH69	369	218	110	41
A1A5D9	61	48	13	0
Q6UB35	117	54	51	12
Q92560	117	70	31	16
Q67FW5	49	27	15	7
Q6Y288	85	39	28	18
Q9UQB8	102	59	24	19
Q99728	137	88	32	17
Q53HC0	59	33	20	6
Q6NZI2	53	29	19	5
Q6PII3	59	29	21	9
P55210	45	21	15	9
Q6P4E1	45	27	8	10
Q96KX2	34	16	7	11
Q8WVQ1	64	31	19	14
Q9BWT7	125	81	28	16
Q5JVX7	74	38	27	9
P55285	150	55	62	33
Q9P296	44	24	10	10
Q8N1D5	39	11	15	13
Q6ZUL3	37	24	11	2
Q6ZS94	40	22	17	1
Q8N8D9	25	14	6	5
Q96MH7	128	69	37	22
Q96BP2	11	6	4	1
Q5T1J5	19	11	6	2
Q8N7Q2	23	15	6	2
P29372	40	20	12	8
P42684	219	112	74	33
P29275	49	17	20	12
Q9H2A2	80	43	27	10
Q9BZC7	402	197	128	77
P51826	264	179	61	24
Q5QJU3	38	17	11	10
Q86TW2	73	36	21	16
P55197	248	159	71	18
O75891	107	44	46	17
Q13444	121	66	43	12
Q9BY15	134	63	51	20
Q8N4T4	43	20	15	8
Q9Y653	135	77	39	19
P10275	151	81	37	33
Q8N9B4	46	23	17	6
P27338	78	20	35	23
Q9NQ90	155	74	43	38
Q6UXH0	21	7	11	3
Q86YJ7	105	48	43	14
O95782	137	68	42	27
Q96BM9	22	11	7	4
Q92482	36	13	15	8
Q5H9R4	377	220	136	21
Q9H1Y0	37	13	14	10
Q8TBH0	63	31	22	10
Q9HBZ2	142	85	40	17
Q9UBB4	56	29	22	5
P25705	82	39	27	16
Q8WXX7	217	136	64	17
Q9UMX3	23	13	7	3
Q5XKL5	58	33	14	11
P13497	174	80	51	43
P34820	44	23	12	9
A8MVZ5	41	21	17	3
Q8NFL0	49	14	21	14
Q5VTR2	116	62	39	15
Q8NDL9	174	110	42	22
Q8N4T8	25	12	10	3
O95388	57	25	21	11
Q8N6N3	28	14	8	6
Q3MIR4	59	23	14	22
Q9BXL6	148	87	43	18
P27824	63	24	24	15
P19022	136	52	58	26
Q6PRD7	41	22	19	0
Q9BWT1	63	39	16	8
Q9H5V8	150	82	52	16
Q9UKY3	41	21	15	5
Q9UKY7	42	22	15	5
Q9C0C6	88	64	21	3
P51679	76	26	25	25
Q9BWS9	60	27	20	13
Q8IX05	38	16	15	7
Q5JU67	53	24	23	6
P86790	66	29	19	18
Q6ZRI6	176	96	56	24
P06127	92	54	25	13
Q9Y259	67	32	15	20
Q8N7R7	60	30	17	13
P20963	20	5	6	9
Q92903	85	34	28	23
Q9NZA1	76	27	27	22
Q14028	177	82	62	33
P01009	61	25	30	6
Q9NYB9	114	55	36	23
P19652	37	11	15	11
Q9NUJ1	42	24	10	8
O95870	90	41	26	23
Q9UNA3	61	33	13	15
Q96GR2	113	41	43	29
Q8IZP0	106	46	38	22
Q9Y478	43	21	14	8
Q13685	67	31	31	5
Q86V21	102	52	27	23
Q86TB3	425	248	138	39
P63261	66	25	26	15
Q7Z591	259	158	81	20
Q5I7T1	81	33	22	26
Q9H9L7	36	17	12	7
O95994	32	10	14	8
Q15848	36	7	15	14
Q9NX46	60	31	15	14
Q96IZ2	45	12	19	14
Q9NUB1	104	40	39	25
Q9NXW9	35	20	10	5
Q12904	35	19	13	3
P13945	56	27	22	7
Q6GMV1	22	17	5	0
Q6NS38	36	16	14	6
P23109	133	57	38	38
Q3SY69	125	48	51	26
A6NC57	128	66	41	21
P36404	25	13	10	2
Q8N100	18	8	6	4
Q2TB18	104	52	34	18
L0R819	17	10	5	2
P18850	129	70	42	17
Q9HD36	29	10	14	5
Q8IWZ6	120	54	41	25
Q96P09	33	11	15	7
Q9BXJ0	34	20	7	7
Q76B58	146	70	49	27
Q8TDN6	37	14	15	8
Q5VWW1	42	14	15	13
Q5U5Z8	160	66	55	39
P0DPF5	26	21	5	0
P23560	46	18	19	9
Q9HA82	63	26	19	18
Q9NRR8	8	5	3	0
Q9HD87	17	5	6	6
P30260	168	81	55	32
Q9Y2R0	16	8	5	3
P50613	42	15	18	9
Q9HAZ1	80	41	17	22
Q9UIV1	44	16	13	15
Q9UBD9	33	10	15	8
Q9UQ52	197	97	65	35
Q96M19	35	26	8	1
P0DMV0	26	16	8	2
O43186	70	40	15	15
Q96HD1	50	26	15	9
Q8NFV4	38	23	11	4
Q8N0Z2	54	27	19	8
Q9H221	115	54	35	26
Q13362	64	26	20	18
O60516	22	6	13	3
Q9Y312	51	24	18	9
P11171	151	68	66	17
P08319	55	23	27	5
Q8N5Z0	66	36	18	12
Q86WK7	66	37	19	10
P54922	58	26	13	19
P11766	51	21	23	7
O95076	54	29	14	11
Q86SJ2	95	52	29	14
P31749	71	23	30	18
Q8TC27	155	82	39	34
Q9BQI0	18	11	4	3
P05091	68	23	28	17
A8MUL3	33	16	12	5
Q8NCV1	80	46	21	13
Q9H0R1	94	45	31	18
Q9Y4B4	240	135	70	35
P27216	46	19	16	11
Q9ULZ1	5	4	1	0
Q8TF21	135	65	61	9
Q9ULJ7	221	125	71	25
Q6T311	27	14	8	5
Q9P2R3	151	74	59	18
Q8N7Z5	321	189	93	39
P30556	62	25	20	17
P84085	27	8	14	5
Q6AI12	50	25	18	7
Q3SXY8	46	20	18	8
P13637	143	56	64	23
P54253	156	89	48	19
Q8WXS8	188	97	61	30
Q8N143	95	55	25	15
Q96G01	164	75	64	25
Q13323	21	13	6	2
P12645	75	43	19	13
O15155	24	11	7	6
Q86Z23	26	10	5	11
Q4AC94	466	265	159	42
O43825	76	27	25	24
Q13901	20	11	4	5
P0DPF6	26	21	5	0
Q6ZUT6	71	47	22	2
P30279	37	14	16	7
P48745	55	23	28	4
Q5TID7	68	40	21	7
P47755	41	12	19	10
Q96LS8	28	19	7	2
O60512	57	24	15	18
Q13634	155	61	64	30
P0C221	107	35	50	22
