ACC_ID	STY_count	#P-sites	Perc_Psites	#proj_NSAF	NSAF_sum	NSAF_max	NSAF_avg	length	arbitary_abundance	NSAF_log	#P-sites_log	Perc_Psites_log	NSAF_log_norm	PRIDE	UP_PRIDE
Q13542	24	7	29.16666666666667	13	0.0071101305469002596	0.002136986233688552	0.0005469331189923277	120	medium	-7.511184031770326	1.9459101490553132	3.373026504695459	0.5542390214833556	3	4
O60516	22	4	18.181818181818183	7	0.0009274464777429321	0.000824390450361934	0.000132492353963276	100	medium	-8.928985620140589	1.3862943611198906	2.900422093749666	0.4667684556297602	4	0
Q9NRA8	171	36	21.052631578947366	19	0.002459513337336158	0.0003423513218683505	0.00012944807038611358	985	medium	-8.952230758126467	3.58351893845611	3.0470255679415414	0.465334358369856	23	13
P08195	97	4	4.123711340206185	24	0.009163343841285124	0.002449220408751618	0.00038180599338688017	630	low	-7.870597949082686	1.3862943611198906	1.4167535686045991	0.5320651581015922	2	2
P28221	78	1	1.282051282051282	4	3.594570294651856e-05	2.5285334150404418e-05	8.98642573662964e-06	377	low	-11.619795370669886	0.0	0.24846135929849955	0.30076028254418813	1	0
P28223	94	1	1.0638297872340423	1	2.023900419257424e-05	2.023900419257424e-05	2.023900419257424e-05	471	low	-10.807898914726996	0.0	0.061875403718087245	0.35084983174372464	1	0
P46098	81	2	2.469135802469136	2	4.013771993415132e-05	3.988523420377601e-05	2.006885996707566e-05	478	low	-10.81634119960566	0.6931471805599453	0.9038682118755981	0.35032898916498073	2	0
Q70Z44	81	1	1.2345679012345678	2	3.37295195868611e-06	3.2547302633844553e-06	1.686475979343055e-06	454	low	-13.292869425449751	0.0	0.21072103131565253	0.19754080847462888	1	0
P50406	67	1	1.4925373134328357	1	1.3003779112179218e-06	1.3003779112179218e-06	1.3003779112179218e-06	440	low	-13.552855634805251	0.0	0.40047756659712525	0.1815010882253397	1	0
P34969	73	1	1.3698630136986298	8	4.8571617994357734e-05	1.7507735270603734e-05	6.071452249294717e-06	479	low	-12.011912731212986	0.0	0.3147107448397	0.27656879645116644	1	0
Q9BXI3	46	1	2.1739130434782608	3	3.369173547508226e-05	2.0273093216593004e-05	1.1230578491694086e-05	368	low	-11.396870277477978	0.0	0.7765287894989963	0.31451353561176004	1	0
Q96P26	118	3	2.5423728813559325	9	0.00016694790440903678	0.00012647613586176388	1.8549767156559644e-05	610	low	-10.895053321196636	1.0986122886681098	0.9330978501905365	0.3454728838597145	3	0
Q9H0P0	42	1	2.380952380952381	13	0.0009836812623825976	0.0004303108291221416	7.566778941404596e-05	336	low	-9.489157991189971	0.0	0.8675005677047231	0.4322088990083272	0	1
P49902	106	4	3.7735849056603774	16	0.0006808790482364206	0.00017082469114853486	4.255494051477629e-05	561	low	-10.064714598879675	1.3862943611198906	1.3280254529959148	0.39670021953698875	1	3
P21589	84	1	1.1904761904761905	12	0.0006831958250493871	0.00013660201062613782	5.693298542078226e-05	574	low	-9.773635676172775	0.0	0.17435338714477774	0.41465818931645154	1	0
P52209	61	5	8.196721311475411	26	0.00973406752876567	0.0010761059915137775	0.00037438721264483344	483	low	-7.890219968204701	1.6094379124341003	2.1037342342488805	0.5308545873631536	4	1
O95336	31	4	12.903225806451614	21	0.0032271592493407675	0.000598065448648651	0.00015367424996860798	258	medium	-8.780675455816864	1.3862943611198906	2.557477342622836	0.47591837766514733	3	1
Q8IZ83	88	1	1.1363636363636365	17	0.0006962929476299859	0.00019239511939071315	4.095840868411682e-05	802	low	-10.102953428473151	0.0	0.127833371509885	0.39434109390928695	1	0
Q676U5	93	8	8.60215053763441	13	0.00036671123330939235	7.52034663889736e-05	2.8208556408414797e-05	607	low	-10.475885207304248	2.0794415416798357	2.1520122345146717	0.3713332527651388	6	2
Q8NAA4	80	2	2.5	5	2.0551745004613546e-05	1.0079113479969445e-05	4.1103490009227096e-06	619	low	-12.402002617994858	0.6931471805599453	0.9162907318741551	0.2525023943463435	2	0
P01009	61	1	1.639344262295082	12	0.017649416099707865	0.011715620632052049	0.0014707846749756554	418	low	-6.521959228107585	0.0	0.49429632181478017	0.6152687551516993	1	0
P20848	69	1	1.4492753623188406	5	3.579058347656839e-05	3.010666730135185e-05	7.1581166953136786e-06	420	low	-11.847263642971312	0.0	0.37106368139083196	0.2867267402945871	1	0
P04217	78	1	1.282051282051282	10	0.0011747200687895103	0.0009681409914084463	0.00011747200687895102	495	low	-9.049310492091633	0.0	0.24846135929849955	0.459345072328351	1	0
Q8NF67	24	1	4.166666666666666	4	3.706705451578443e-05	2.238974607175269e-05	9.266763628946107e-06	263	low	-11.5890763624352	0.0	1.4271163556401456	0.30265547652252034	1	0
Q5TYW2	114	2	1.7543859649122806	8	2.5600635276653303e-05	7.154924929369328e-06	3.200079409581663e-06	823	low	-12.652334932972224	0.6931471805599453	0.5621189181535412	0.23705826632298552	2	0
Q5SQ80	112	2	1.7857142857142856	7	2.0636167113863885e-05	7.154924929369328e-06	2.9480238734091263e-06	823	low	-12.734375485498628	0.6931471805599453	0.579818495252942	0.23199681512185164	2	0
Q5VUR7	114	2	1.7543859649122806	7	2.0636167113863885e-05	7.154924929369328e-06	2.9480238734091263e-06	823	low	-12.734375485498628	0.6931471805599453	0.5621189181535412	0.23199681512185164	2	0
Q4UJ75	112	2	1.7857142857142856	6	1.4528397238910935e-05	7.154924929369328e-06	2.421399539818489e-06	823	low	-12.931164862720493	0.6931471805599453	0.579818495252942	0.21985599208937107	2	0
P08697	68	2	2.9411764705882346	8	0.0009563060655489919	0.0007167706264357657	0.00011953825819362399	491	low	-9.031874085582604	0.6931471805599453	1.0788096613719298	0.46042080278055847	2	0
P02750	43	1	2.3255813953488373	11	0.00048781168245316825	0.0002373706636445871	4.434651658665166e-05	347	low	-10.023476395999117	0.0	0.843970070294529	0.3992443900121355	1	0
U3KPV4	34	2	5.882352941176469	1	1.4207466088310629e-06	1.4207466088310629e-06	1.4207466088310629e-06	340	low	-13.464328043658488	0.6931471805599453	1.771956841931875	0.1869627540569912	2	0
P05067	105	5	4.761904761904762	15	0.0005671033667322801	9.615869855811826e-05	3.780689111548534e-05	770	low	-10.183019167311734	1.6094379124341003	1.5606477482646683	0.3894014778592391	2	3
Q9NPC4	52	2	3.8461538461538463	5	1.8943155377540727e-05	1.2654296017805225e-05	3.7886310755081454e-06	353	low	-12.483505797913454	0.6931471805599453	1.3470736479666094	0.24747409608174517	2	0
Q96GX2	10	1	10.0	11	0.0004951684103171261	0.00015444895147954298	4.501531002882965e-05	97	low	-10.008507903193747	0.0	2.302585092994046	0.4001678637523266	0	1
Q9NS82	89	3	3.3707865168539324	4	3.8360372096497835e-06	1.5918162718116725e-06	9.590093024124459e-07	523	low	-13.857365061992766	1.0986122886681098	1.215146104924061	0.16271453013263554	3	0
Q9NRG9	92	5	5.434782608695652	26	0.002396819901771082	0.000288684425706992	9.218538083734931e-05	546	low	-9.291708999221411	1.6094379124341003	1.6928195213731514	0.44439041664547746	3	2
Q15758	68	9	13.235294117647062	25	0.0027135894597408138	0.0004230211868022943	0.00010854357838963256	541	medium	-9.1283588214771	2.1972245773362196	2.5828870581482044	0.4544682248499417	4	5
Q86V21	102	1	0.9803921568627452	12	0.0006493475678895088	0.00011480720666023209	5.4112297324125735e-05	672	low	-9.824449090657092	0.0	-0.019802627296179643	0.4115232809101169	1	0
P01011	68	3	4.411764705882354	12	0.004126204023074662	0.0033810907961255745	0.0003438503352562218	423	low	-7.975304067191716	1.0986122886681098	1.4842747694800946	0.525605366072541	3	0
Q8N5Z0	66	1	1.5151515151515151	7	0.00011641333420646316	8.812530910108388e-05	1.6630476315209024e-05	425	low	-11.004273623244835	0.0	0.4155154439616658	0.33873459149128926	1	0
Q6PD74	48	2	4.166666666666666	12	0.0008201900037078897	0.00025019316894605973	6.834916697565748e-05	315	low	-9.590881182496128	0.6931471805599453	1.4271163556401456	0.42593313716903425	0	2
Q2M2I8	157	23	14.64968152866242	21	0.0025127874714334893	0.00041054080700349033	0.00011965654625873759	961	medium	-9.030885033374492	3.1354942159291497	2.684418596568933	0.46048182186602993	11	12
Q9Y478	43	7	16.27906976744186	18	0.0038780800758908417	0.00066116147971668	0.00021544889310504676	270	medium	-8.442786831511137	1.9459101490553132	2.7898802193498424	0.4967642487700656	3	4
O43741	50	8	16.0	13	0.00415770917041126	0.0022168482698808312	0.00031982378233932766	272	medium	-8.047740394040126	2.0794415416798357	2.772588722239781	0.5211364428115158	2	6
Q9UGJ0	113	16	14.15929203539823	11	0.00022178971172472404	0.00010416560073630988	2.0162701065884003e-05	569	medium	-10.811676142293159	2.772588722239781	2.650371089515532	0.3506167975622988	11	5
Q9UGI9	77	2	2.5974025974025974	4	7.593341507129936e-06	5.850370970714578e-06	1.898335376782484e-06	489	low	-13.174533173290015	0.6931471805599453	0.9545119446943529	0.20484150486424435	2	0
Q9H7C9	23	1	4.3478260869565215	10	0.0006179918126202731	0.00019448211015974496	6.17991812620273e-05	122	low	-9.691620441775648	0.0	1.4696759700589417	0.4197180785281559	1	0
Q13685	67	2	2.985074626865672	15	0.0018561383493418708	0.0010546288574195448	0.00012374255662279138	434	low	-8.997307306827164	0.6931471805599453	1.0936247471570706	0.4625533830529152	2	0
Q13131	95	22	23.157894736842106	22	0.0017600494674765274	0.0004234665998536897	8.000224852166033e-05	559	medium	-9.433455817164619	3.091042453358316	3.142335747745866	0.435645417010027	9	13
P54646	92	8	8.695652173913043	16	0.0007989451436211241	0.00020344471448155714	4.993407147632026e-05	552	low	-9.904806993088695	2.0794415416798357	2.162823150618887	0.4065656399720926	5	3
Q9BTE6	54	1	1.851851851851852	16	0.0010434705869293414	0.00018725835649435917	6.521691168308384e-05	412	low	-9.637791741022879	0.0	0.6161861394238171	0.4230390135254292	0	1
Q9UDR5	140	1	0.7142857142857143	9	0.00018500867403157948	8.421937424542503e-05	2.0556519336842164e-05	926	low	-10.792332424664128	0.0	-0.3364722366212129	0.35181019862814783	1	0
P17174	61	4	6.557377049180328	21	0.004042465072881976	0.0007254868061590443	0.00019249833680390363	413	low	-8.555423044253482	1.3862943611198906	1.8805906829346708	0.489815213485443	4	0
Q8NHS2	63	2	3.1746031746031744	2	1.5457083988032382e-06	1.4023732692077529e-06	7.728541994016191e-07	421	low	-14.073175422706097	0.6931471805599453	1.155182640156504	0.14940021695686712	2	0
Q9NY61	76	17	22.36842105263158	22	0.002542993453574973	0.0005783126264922861	0.00011559061152613513	560	medium	-9.06545582019597	2.833213344056216	3.1076501897579765	0.45834899431802684	8	9
P00505	57	5	8.771929824561402	24	0.009587120078784586	0.0016549113278866337	0.0003994633366160244	430	low	-7.82538857014577	1.6094379124341003	2.1715568305876416	0.534854328314081	3	2
Q7Z5M8	50	2	4.0	9	9.7830222989475e-05	4.030332732909802e-05	1.0870024776608334e-05	362	low	-11.42950157747696	0.6931471805599453	1.3862943611198906	0.3125003637414066	2	0
Q5VST6	55	2	3.636363636363636	8	0.00016084508220122376	4.205148478425388e-05	2.010563527515297e-05	288	low	-10.814510420245401	0.6931471805599453	1.2909841813155656	0.3504419381896598	1	1
Q7Z5R6	93	5	5.376344086021504	14	0.0004669489091277182	0.00011988020193784763	3.335349350912273e-05	666	low	-10.30834803819161	1.6094379124341003	1.6820086052689356	0.38166937532558615	1	4
Q9NRW3	33	1	3.0303030303030303	12	0.0007633794504978904	0.00026261573143340755	6.361495420815753e-05	190	low	-9.662661986197621	0.0	1.1086626245216111	0.42150465608345955	1	0
Q9HC16	61	1	1.639344262295082	5	0.00010035940839633615	8.850493075588666e-05	2.007188167926723e-05	384	low	-10.816190643732831	0.0	0.49429632181478017	0.35033827763488856	1	0
O95477	369	2	0.5420054200542005	7	1.974268695681084e-05	1.4913519406242405e-05	2.8203838509729772e-06	2261	low	-12.778637564911076	0.6931471805599453	-0.6124792774924906	0.22926608808372356	1	1
Q9BZC7	402	14	3.4825870646766166	15	0.00011762933595875875	4.788187420699998e-05	7.841955730583917e-06	2435	low	-11.756022299279168	2.6390573296152584	1.2477754269843289	0.29235582974367436	10	4
Q99758	256	3	1.171875	6	1.3110804412719373e-05	7.402037952895274e-06	2.185134068786562e-06	1704	low	-13.033833372586704	1.0986122886681098	0.15860503017663857	0.21352190929033443	3	0
P78363	356	2	0.5617977528089888	7	3.5758360156646198e-06	1.5543783238550704e-06	5.108337165235171e-07	2273	low	-14.487221707676833	0.6931471805599453	-0.5766133643039937	0.12385583674665737	2	0
Q8WWZ7	294	4	1.3605442176870748	9	3.235985635079657e-05	1.3912687540973263e-05	3.5955395945329523e-06	1642	low	-12.535816482217813	1.3862943611198906	0.30788477976930034	0.24424681435641526	4	0
Q8N139	263	1	0.3802281368821293	4	1.2605130633686667e-05	7.716723864070606e-06	3.1512826584216668e-06	1617	low	-12.66770099485763	0.0	-0.9669838461896731	0.236110264755571	1	0
Q8IZY2	286	1	0.34965034965034963	5	4.471232580662995e-06	1.953915469389373e-06	8.94246516132599e-07	2146	low	-13.92728435466883	0.0	-1.0508216248317612	0.1584008940465817	1	0
O94911	253	1	0.3952569169960474	9	3.033067294084687e-05	1.5784873482861694e-05	3.370074771205208e-06	1581	low	-12.60057562654489	0.0	-0.9282193027394289	0.2402515310636413	1	0
Q8WWZ4	244	3	1.2295081967213115	5	8.132142421107344e-06	5.355134329575668e-06	1.6264284842214688e-06	1543	low	-13.329124061122657	1.0986122886681098	0.2066142493629992	0.1953040967068206	3	0
Q86UK0	493	2	0.4056795131845842	10	1.1943116364950405e-05	2.8866181683074504e-06	1.1943116364950404e-06	2595	low	-13.637940574959336	0.6931471805599453	-0.9021918074946534	0.17625181503934192	2	0
Q86UQ4	862	6	0.6960556844547563	9	4.960808441879878e-06	3.113934085224455e-06	5.512009379866531e-07	5058	low	-14.41116641553097	1.791759469228055	-0.3623256154475468	0.12854803027692857	6	0
Q2M3G0	205	2	0.975609756097561	10	2.7204160603288517e-05	8.50613518110253e-06	2.7204160603288517e-06	1257	low	-12.814725725997874	0.6931471805599453	-0.02469261259037152	0.2270396468829442	2	0
Q9NP58	132	2	1.5151515151515151	11	0.00014080949887543227	2.7660395619096283e-05	1.2800863534130207e-05	842	low	-11.265997925710346	0.6931471805599453	0.4155154439616658	0.32258764044956334	2	0
O75027	118	1	0.8474576271186439	14	0.0003934456290565922	7.691596528423776e-05	2.8103259218328014e-05	752	low	-10.479625001933112	0.0	-0.16551443847757358	0.37110252799021526	1	0
Q9NP78	130	2	1.5384615384615383	6	6.058922436350613e-05	4.92662185062485e-05	1.0098204060584355e-05	766	low	-11.50315296571189	0.6931471805599453	0.43078291609245417	0.30795647787073455	2	0
Q9NRK6	105	3	2.8571428571428568	12	0.0002809156284586681	7.907753112809478e-05	2.3409635704889007e-05	738	low	-10.662362838099451	1.0986122886681098	1.0498221244986776	0.3598286078144699	3	0
O95342	209	2	0.9569377990430622	5	9.636298207715087e-06	4.306813675016529e-06	1.9272596415430173e-06	1321	low	-13.159411438873144	0.6931471805599453	-0.04401688541677433	0.2057744327696588	2	0
Q09428	244	5	2.0491803278688523	7	9.56083919192917e-06	4.7362210502370045e-06	1.3658341702755957e-06	1581	low	-13.503745202226305	1.6094379124341003	0.7174398731289898	0.18453093200759493	5	0
O60706	261	4	1.532567049808429	9	1.4057001341746244e-05	4.4325341324923346e-06	1.5618890379718049e-06	1549	low	-13.369614547500472	1.3862943611198906	0.42694413978528845	0.19280605623049002	4	0
Q96J66	223	3	1.345291479820628	4	3.908222880719552e-06	1.656052911536572e-06	9.77055720179888e-07	1382	low	-13.838722154615978	1.0986122886681098	0.2966107031960824	0.1638646950575305	3	0
P33897	103	3	2.9126213592233015	13	0.0003889699368467139	0.00010183731758309621	2.9920764372824145e-05	745	low	-10.416957857964263	1.0986122886681098	1.0690534864265655	0.37496874635838967	2	1
Q9UBJ2	123	4	3.252032520325204	8	2.9296812455618304e-05	7.978366842384647e-06	3.662101556952288e-06	740	low	-12.517473379449777	1.3862943611198906	1.1792801917355646	0.24537848298465756	4	0
P28288	100	1	1.0	18	0.0013240933922994723	0.00028680325225612064	7.356074401663736e-05	659	low	-9.517399043860634	0.0	0.0	0.4304665812696064	1	0
O14678	108	1	0.9259259259259258	5	6.90147814001005e-05	5.662432647286464e-05	1.38029562800201e-05	606	low	-11.190627765553764	0.0	-0.07696104113612844	0.32723756510153845	1	0
P61221	80	7	8.75	24	0.0033188723848124363	0.0003653540357212058	0.00013828634936718484	599	low	-8.88618402722226	1.9459101490553132	2.169053700369523	0.4694090786779435	7	0
Q8NE71	86	21	24.41860465116279	28	0.017155016914630155	0.002278792114662601	0.0006126791755225056	845	medium	-7.397669126859063	3.044522437723423	3.1953453274580066	0.5612422672455631	13	8
Q9UG63	74	7	9.459459459459461	18	0.002271328119049436	0.00036734263573040316	0.00012618489550274644	623	low	-8.977762302003212	1.9459101490553132	2.247015241839235	0.463759202432429	5	2
Q9NUQ8	92	7	7.608695652173914	18	0.0009339757047117733	0.00015847640212113113	5.1887539150654074e-05	709	low	-9.866431890055813	1.9459101490553132	2.0292917579943643	0.40893317292205544	5	2
P45844	116	3	2.586206896551724	8	1.1031308493325925e-05	3.294223078381448e-06	1.3789135616657406e-06	678	low	-13.494214643013466	1.0986122886681098	0.9501922835498364	0.1851189151316698	3	0
Q9UNQ0	116	1	0.8620689655172413	9	0.0004599660173321212	0.00023166046289895166	5.110733525912458e-05	655	low	-9.881582523911225	0.0	-0.14842000511827333	0.4079984620801125	1	0
Q9H172	105	1	0.9523809523809524	5	3.429645445306354e-05	2.7659235258732167e-05	6.8592908906127075e-06	646	low	-11.889906490284742	0.0	-0.048790164169431945	0.2840959109777701	1	0
Q9H222	112	2	1.7857142857142856	4	1.336601187864227e-05	1.1502251122004152e-05	3.3415029696605673e-06	651	low	-12.609089861274876	0.6931471805599453	0.579818495252942	0.23972624957450267	2	0
Q8N2K0	55	1	1.818181818181818	14	0.0005460363277696623	9.850318245876572e-05	3.900259484069016e-05	398	low	-10.151882379671271	0.0	0.5978370007556203	0.3913224465308184	1	0
Q0P651	74	2	2.702702702702702	5	1.8323738899837048e-05	9.723306099085374e-06	3.6647477799674095e-06	414	low	-12.516751043556546	0.6931471805599453	0.9942522733438668	0.24542304713935703	2	0
Q9Y235	24	2	8.333333333333332	3	3.871496825185868e-06	2.554313754178061e-06	1.2904989417286227e-06	224	low	-13.56048163783564	0.6931471805599453	2.120263536200091	0.1810306057504004	2	0
Q6UXT9	63	2	3.1746031746031744	6	2.9468306726948236e-05	8.841071717721779e-06	4.911384454491373e-06	468	low	-12.223954689611347	0.6931471805599453	1.155182640156504	0.2634869729873282	1	1
P08910	67	1	1.4925373134328357	4	2.1135944040620585e-05	7.339966169530689e-06	5.283986010155146e-06	425	low	-12.150829818893781	0.0	0.40047756659712525	0.26799837562088635	1	0
Q9BV23	48	1	2.083333333333333	9	0.00017236907828278422	2.8286560755793677e-05	1.9152119809198247e-05	337	low	-10.86309715346656	0.0	0.7339691750802003	0.3474444037795611	1	0
Q9BUJ0	37	1	2.702702702702702	1	1.7824865203046548e-06	1.7824865203046548e-06	1.7824865203046548e-06	271	low	-13.237501246927982	0.0	0.9942522733438668	0.20095672078937604	1	0
Q96IU4	27	4	14.814814814814813	19	0.0028195549550801106	0.000535046519542295	0.00014839762921474266	210	medium	-8.815615203000501	1.3862943611198906	2.6956276811036526	0.473762787290582	4	0
O95870	90	1	1.1111111111111112	8	0.0001473751178084135	5.0306085619741056e-05	1.8421889726051686e-05	558	low	-10.901970941408347	0.0	0.10536051565782635	0.3450461047114599	1	0
Q8IZP0	106	20	18.867924528301888	24	0.0054690131831773466	0.0010102877407224453	0.0002278755492990561	508	medium	-8.386710914440405	2.995732273553991	2.9374633654300153	0.5002238246635969	9	11
Q9NYB9	114	21	18.421052631578945	21	0.0026593663246152932	0.0004831322521291698	0.0001266364916483473	513	medium	-8.974189846120593	3.044522437723423	2.9134941753170187	0.4639796033263925	17	4
Q9P2A4	57	5	8.771929824561402	8	0.00012758612991067484	7.141032170963343e-05	1.5948266238834355e-05	366	low	-11.04616043440127	1.6094379124341003	2.1715568305876416	0.33615040545023145	5	0
P00519	215	29	13.488372093023255	20	0.0006356851570013497	0.00013877797185735065	3.178425785006749e-05	1130	medium	-10.356539426910397	3.367295829986474	2.6018279878469026	0.3786962314984952	15	14
P42684	219	41	18.721461187214608	21	0.0013674270678580638	0.00028003854696754404	6.51155746599078e-05	1182	medium	-9.639346795275898	3.713572066704308	2.9296705228758984	0.42294307522449887	23	18
O14639	143	38	26.57342657342657	22	0.005494522160506244	0.0006297216807759173	0.00024975100729573833	778	medium	-8.295046107227575	3.6375861597263857	3.2799117154545696	0.5058790394845815	21	17
Q6H8Q1	121	8	6.6115702479338845	15	0.00021795378810016578	3.942203086746847e-05	1.4530252540011052e-05	611	low	-11.139277699940484	2.0794415416798357	1.8888211820711862	0.330405581933129	6	2
O94929	159	24	15.094339622641508	13	0.0008755722302856745	0.000278607061413006	6.735171002197496e-05	683	medium	-9.605582265348932	3.1780538303479458	2.714319814115805	0.42502616115324804	11	13
Q12979	143	10	6.9930069930069925	16	0.00019904168785916647	4.242576149459826e-05	1.2440105491197904e-05	859	low	-11.294584990689364	2.302585092994046	1.9449106487222296	0.320823975653079	10	0
Q6UWZ7	74	9	12.162162162162163	14	0.0007506015099713068	0.00028855289931858013	5.361439356937906e-05	409	medium	-9.833692989194908	2.1972245773362196	2.498329670120141	0.41095298317422185	4	5
Q15018	85	8	9.411764705882351	14	0.0007866613837307775	9.877227343578593e-05	5.619009883791268e-05	415	low	-9.786769993847006	2.0794415416798357	2.241960471177611	0.4138478741013399	5	3
Q9ULW3	34	2	5.882352941176469	12	0.0006213684506324013	0.00013769579547044355	5.178070421936677e-05	272	low	-9.868492983513844	0.6931471805599453	1.771956841931875	0.4088060147833356	2	0
Q8N961	178	2	1.1235955056179776	8	5.223212418922939e-05	2.018351982387216e-05	6.529015523653674e-06	1025	low	-11.939254388116154	0.6931471805599453	0.1165338162559516	0.28105141689453184	2	0
Q13085	349	28	8.022922636103152	25	0.0020535412924335005	0.00043075747895133436	8.214165169734001e-05	2346	low	-9.40706534131882	3.332204510175204	2.082302773960868	0.43727356432930825	15	13
O00763	363	4	1.1019283746556474	13	6.570085745986781e-05	1.4105993362429016e-05	5.053912112297524e-06	2458	low	-12.195347938880872	1.3862943611198906	0.09706171284313124	0.2652518522864858	3	1
Q9H845	95	3	3.1578947368421053	18	0.00163468803611132	0.000482489615046192	9.081600200618444e-05	621	low	-9.306675054336047	1.0986122886681098	1.1499055830556602	0.44346709329740724	3	0
P49748	85	3	3.5294117647058822	23	0.004022799806452379	0.0005553106467603326	0.00017490433941097302	655	low	-8.651271365435763	1.0986122886681098	1.2611312181658845	0.48390189884487445	3	0
