ACC_ID	#total_dis_sites	length	fraction_disordered	binned
A0FGR8	356	921	38.65363735070576	(30, 50]
A0FGR9	137	886	15.4627539503386	(10, 30]
A0JLT2	209	244	85.65573770491804	(70, 90]
A0JP26	206	581	35.45611015490533	(30, 50]
A0MZ66	410	631	64.97622820919176	(50, 70]
A0PK05	72	275	26.181818181818183	(10, 30]
A1A4G5	126	178	70.78651685393258	(70, 90]
A1A4S6	197	786	25.06361323155216	(10, 30]
A1A5D9	354	508	69.68503937007874	(50, 70]
A1IGU5	100	675	14.814814814814813	(10, 30]
A1KXE4	68	195	34.87179487179487	(30, 50]
A1KZ92	145	1463	9.911141490088857	(0, 10]
A1L020	213	520	40.96153846153846	(30, 50]
A1L170	261	272	95.95588235294117	(90, 100]
A1L390	781	1219	64.06890894175554	(50, 70]
A1L429	117	117	100.0	(90, 100]
A1L4H1	1050	1573	66.75143038779402	(50, 70]
A1L4K1	178	749	23.76502002670227	(10, 30]
A1X283	576	911	63.22722283205269	(50, 70]
A1XBS5	93	289	32.17993079584775	(30, 50]
A1YPR0	173	619	27.948303715670438	(10, 30]
A1Z1Q3	212	425	49.88235294117647	(30, 50]
A2A288	259	527	49.146110056926	(30, 50]
A2A2Y4	89	597	14.90787269681742	(10, 30]
A2A2Z9	168	1011	16.61721068249258	(10, 30]
A2A368	105	324	32.407407407407405	(30, 50]
A2A3K4	196	754	25.9946949602122	(10, 30]
A2A3N6	285	862	33.06264501160093	(30, 50]
A2AJT9	515	711	72.43319268635724	(70, 90]
A2PYH4	188	1435	13.101045296167246	(10, 30]
A2RRD8	61	509	11.984282907662083	(10, 30]
A2RRH5	17	827	2.0556227327690446	(0, 10]
A2RRP1	123	2371	5.18768452129903	(0, 10]
A2RTX5	45	802	5.610972568578553	(0, 10]
A2RU30	212	521	40.69097888675624	(30, 50]
A2RU49	13	373	3.485254691689008	(0, 10]
A2RU54	154	273	56.41025641025641	(50, 70]
A2RU67	102	622	16.39871382636656	(10, 30]
A2RUB1	333	952	34.97899159663865	(30, 50]
A2RUB6	577	948	60.86497890295358	(50, 70]
A2RUH7	57	354	16.101694915254235	(10, 30]
A2RUR9	659	1427	46.180798878766645	(30, 50]
A2VDJ0	349	1609	21.690490988191424	(10, 30]
A2VEC9	300	5150	5.825242718446602	(0, 10]
A3KMH1	186	1905	9.763779527559056	(0, 10]
A3KN83	447	1393	32.08901651112706	(30, 50]
A3QJZ7	1	478	0.20920502092050208	(0, 10]
A4D0V7	30	1026	2.923976608187134	(0, 10]
A4D126	47	451	10.42128603104213	(10, 30]
A4D161	61	298	20.469798657718123	(10, 30]
A4D1E1	339	1349	25.129725722757602	(10, 30]
A4D1E9	28	387	7.235142118863049	(0, 10]
A4D1F6	117	860	13.604651162790699	(10, 30]
A4D1P6	194	747	25.970548862115127	(10, 30]
A4D1S0	215	409	52.567237163814184	(50, 70]
A4D250	55	179	30.726256983240223	(30, 50]
A4D2H0	371	777	47.74774774774775	(30, 50]
A4D2P6	477	1211	39.38893476465731	(30, 50]
A4FU01	99	709	13.963328631875882	(10, 30]
A4FU28	400	777	51.48005148005148	(50, 70]
A4FU49	574	640	89.6875	(70, 90]
A4FU69	374	1503	24.88356620093147	(10, 30]
A4QPH2	11	592	1.8581081081081081	(0, 10]
A4UGR9	1817	3374	53.8529934795495	(50, 70]
A5A3E0	324	1075	30.13953488372093	(30, 50]
A5D8T8	3	446	0.672645739910314	(0, 10]
A5D8W1	48	941	5.100956429330499	(0, 10]
A5PKW4	628	1024	61.328125	(50, 70]
A5PL33	944	1030	91.6504854368932	(90, 100]
A5PLK6	43	1076	3.9962825278810405	(0, 10]
A5PLL1	188	514	36.57587548638132	(30, 50]
A5PLN7	512	773	66.23544631306598	(50, 70]
A5YKK6	561	2376	23.61111111111111	(10, 30]
A5YM69	453	484	93.59504132231406	(90, 100]
A6H8Y1	2282	2624	86.96646341463415	(70, 90]
A6NC57	229	917	24.972737186477644	(10, 30]
A6NC62	55	111	49.549549549549546	(30, 50]
A6NC78	448	632	70.88607594936708	(70, 90]
A6NC97	8	362	2.209944751381215	(0, 10]
A6NC98	855	1476	57.92682926829268	(50, 70]
A6NCC3	436	632	68.9873417721519	(50, 70]
A6NCF6	105	341	30.791788856304986	(30, 50]
A6NCI4	140	1184	11.824324324324325	(10, 30]
A6NCL1	128	334	38.32335329341318	(30, 50]
A6NCL7	300	494	60.72874493927125	(50, 70]
A6NCM1	177	818	21.638141809290953	(10, 30]
A6NCS4	191	301	63.45514950166113	(50, 70]
A6NCW7	154	530	29.056603773584904	(10, 30]
A6ND36	459	823	55.77156743620899	(50, 70]
A6ND91	39	283	13.780918727915195	(10, 30]
A6NDB9	583	673	86.62704309063894	(70, 90]
A6NDE4	413	496	83.26612903225806	(70, 90]
A6NDE8	117	117	100.0	(90, 100]
A6NDG6	7	321	2.1806853582554515	(0, 10]
A6NDK9	514	693	74.17027417027417	(70, 90]
A6NDN3	487	693	70.27417027417027	(70, 90]
A6NDS4	193	549	35.154826958105645	(30, 50]
A6NDU8	1	294	0.3401360544217687	(0, 10]
A6NDX5	92	716	12.849162011173185	(10, 30]
A6NDY2	433	464	93.31896551724138	(90, 100]
A6NDZ8	146	208	70.1923076923077	(70, 90]
A6NE01	1041	2351	44.279030199914935	(30, 50]
A6NE21	433	464	93.31896551724138	(90, 100]
A6NE52	217	1622	13.37854500616523	(10, 30]
A6NE82	150	208	72.11538461538461	(70, 90]
A6NEC2	6	478	1.2552301255230125	(0, 10]
A6NED2	69	376	18.351063829787233	(10, 30]
A6NEE1	188	506	37.15415019762846	(30, 50]
A6NEF3	287	574	50.0	(30, 50]
A6NEH6	112	219	51.141552511415526	(50, 70]
A6NEL2	483	793	60.907944514501885	(50, 70]
A6NEM1	262	432	60.64814814814815	(50, 70]
A6NEN9	49	183	26.775956284153008	(10, 30]
A6NEQ0	409	496	82.45967741935483	(70, 90]
A6NEQ2	243	426	57.04225352112676	(50, 70]
A6NER0	194	549	35.33697632058288	(30, 50]
A6NES4	37	1674	2.2102747909199523	(0, 10]
A6NEW6	436	464	93.96551724137932	(90, 100]
A6NEY3	170	463	36.7170626349892	(30, 50]
A6NF01	599	834	71.82254196642685	(70, 90]
A6NF34	74	631	11.727416798732172	(10, 30]
A6NFD8	67	242	27.685950413223143	(10, 30]
A6NFF2	6	107	5.607476635514018	(0, 10]
A6NFI3	532	1004	52.98804780876494	(50, 70]
A6NFK2	109	248	43.95161290322581	(30, 50]
A6NFN3	138	312	44.230769230769226	(30, 50]
A6NFN9	29	502	5.776892430278884	(0, 10]
A6NFR6	170	353	48.1586402266289	(30, 50]
A6NGB0	156	347	44.95677233429395	(30, 50]
A6NGB9	480	483	99.37888198757764	(90, 100]
A6NGC4	35	264	13.257575757575758	(10, 30]
A6NGE4	199	600	33.166666666666664	(30, 50]
A6NGE7	14	173	8.092485549132949	(0, 10]
A6NGG8	986	1288	76.5527950310559	(70, 90]
A6NGK3	116	116	100.0	(90, 100]
A6NGN4	1	478	0.20920502092050208	(0, 10]
A6NGR9	123	719	17.10709318497914	(10, 30]
A6NH11	44	291	15.120274914089347	(10, 30]
A6NHC0	30	703	4.267425320056899	(0, 10]
A6NHG4	4	134	2.9850746268656714	(0, 10]
A6NHJ4	100	632	15.822784810126583	(10, 30]
A6NHL2	7	446	1.5695067264573992	(0, 10]
A6NHQ2	110	334	32.93413173652694	(30, 50]
A6NHQ4	312	379	82.32189973614776	(70, 90]
A6NHR9	222	2005	11.072319201995013	(10, 30]
A6NHT5	186	357	52.10084033613446	(50, 70]
A6NHZ5	5	514	0.9727626459143969	(0, 10]
A6NI03	11	449	2.4498886414253898	(0, 10]
A6NI28	240	874	27.45995423340961	(10, 30]
A6NI47	173	508	34.05511811023622	(30, 50]
A6NI72	149	391	38.107416879795394	(30, 50]
A6NI73	59	299	19.732441471571907	(10, 30]
A6NI79	127	296	42.9054054054054	(30, 50]
A6NI86	278	522	53.25670498084292	(50, 70]
A6NI87	67	242	27.685950413223143	(10, 30]
A6NIE6	22	340	6.470588235294119	(0, 10]
A6NIH7	59	251	23.50597609561753	(10, 30]
A6NIJ5	424	464	91.37931034482759	(90, 100]
A6NIK2	72	292	24.65753424657534	(10, 30]
A6NIN4	35	190	18.421052631578945	(10, 30]
A6NIV6	57	560	10.178571428571429	(10, 30]
A6NIX2	203	430	47.20930232558139	(30, 50]
A6NJ08	160	208	76.92307692307693	(70, 90]
A6NJ78	57	407	14.004914004914005	(10, 30]
A6NJ88	196	616	31.818181818181817	(30, 50]
A6NJB7	253	356	71.06741573033707	(70, 90]
A6NJG2	115	315	36.507936507936506	(30, 50]
A6NJG6	99	315	31.428571428571427	(30, 50]
A6NJL1	267	495	53.939393939393945	(50, 70]
A6NJQ4	434	464	93.53448275862068	(90, 100]
A6NJW4	6	275	2.181818181818182	(0, 10]
A6NJZ7	650	1639	39.65832824893227	(30, 50]
A6NK59	13	587	2.2146507666098807	(0, 10]
A6NK75	7	572	1.2237762237762237	(0, 10]
A6NK89	294	507	57.98816568047337	(50, 70]
A6NKC0	439	464	94.61206896551724	(90, 100]
A6NKC9	276	451	61.19733924611973	(50, 70]
A6NKD9	249	419	59.427207637231504	(50, 70]
A6NKF1	139	404	34.4059405940594	(30, 50]
A6NKF2	274	412	66.50485436893204	(50, 70]
A6NKG5	300	1358	22.091310751104565	(10, 30]
A6NKL6	403	621	64.89533011272141	(50, 70]
A6NKN8	68	68	100.0	(90, 100]
A6NKT7	375	1758	21.331058020477816	(10, 30]
A6NKU9	210	549	38.25136612021858	(30, 50]
A6NKX4	37	556	6.654676258992806	(0, 10]
A6NL05	93	159	58.490566037735846	(50, 70]
A6NL46	307	340	90.29411764705883	(90, 100]
A6NL88	349	538	64.86988847583643	(50, 70]
A6NLC5	118	250	47.199999999999996	(30, 50]
A6NLF2	430	546	78.75457875457876	(70, 90]
A6NLI5	8	450	1.7777777777777777	(0, 10]
A6NLJ0	140	364	38.46153846153847	(30, 50]
A6NLU5	147	285	51.578947368421055	(50, 70]
A6NM11	1080	1700	63.52941176470588	(50, 70]
A6NM28	132	416	31.73076923076923	(30, 50]
A6NM36	18	301	5.980066445182724	(0, 10]
A6NM62	640	1247	51.32317562149158	(50, 70]
A6NMB1	51	481	10.602910602910603	(10, 30]
A6NMB9	252	653	38.59111791730474	(30, 50]
A6NMD2	455	632	71.99367088607595	(70, 90]
A6NMK8	354	535	66.16822429906543	(50, 70]
A6NMS7	1081	1700	63.588235294117645	(50, 70]
A6NMT0	185	343	53.93586005830904	(50, 70]
A6NMX2	48	242	19.834710743801654	(10, 30]
A6NMY6	6	339	1.7699115044247788	(0, 10]
A6NMZ2	39	147	26.53061224489796	(10, 30]
A6NMZ7	399	2263	17.631462660185594	(10, 30]
A6NN14	36	1252	2.8753993610223643	(0, 10]
A6NN73	443	597	74.20435510887772	(70, 90]
A6NN90	315	582	54.123711340206185	(50, 70]
A6NNA2	593	597	99.32998324958125	(90, 100]
A6NNA5	139	263	52.851711026615966	(50, 70]
A6NNE9	163	402	40.547263681592035	(30, 50]
A6NNF4	8	738	1.084010840108401	(0, 10]
A6NNH2	453	459	98.69281045751634	(90, 100]
A6NNJ1	440	464	94.82758620689656	(90, 100]
A6NNL0	515	878	58.65603644646925	(50, 70]
A6NNM3	653	1639	39.84136668700427	(30, 50]
A6NNN8	15	435	3.4482758620689653	(0, 10]
A6NP11	24	495	4.848484848484849	(0, 10]
A6NP61	156	321	48.598130841121495	(30, 50]
A6PVS8	8	624	1.282051282051282	(0, 10]
A6PVY3	44	158	27.848101265822784	(10, 30]
A6QL63	157	1104	14.221014492753623	(10, 30]
A6QL64	1080	1915	56.39686684073107	(50, 70]
A7E2F4	453	631	71.79080824088749	(70, 90]
A7E2V4	711	1837	38.704409363092	(30, 50]
A7E2Y1	720	1983	36.30862329803328	(30, 50]
A7KAX9	1258	2087	60.27791087685673	(50, 70]
A7MBM2	420	1401	29.978586723768736	(10, 30]
A7MCY6	338	615	54.95934959349593	(50, 70]
A7MD48	598	611	97.87234042553192	(90, 100]
A7XYQ1	644	873	73.76861397479955	(70, 90]
A8CG34	934	1229	75.99674532139952	(70, 90]
A8K0R7	410	811	50.55487053020962	(50, 70]
A8K0Z3	259	465	55.6989247311828	(50, 70]
A8K7I4	109	914	11.925601750547047	(10, 30]
A8K855	72	629	11.446740858505565	(10, 30]
A8K8P3	210	1242	16.908212560386474	(10, 30]
A8K8V0	73	405	18.02469135802469	(10, 30]
A8K979	139	691	20.11577424023155	(10, 30]
A8MQ03	88	144	61.111111111111114	(50, 70]
A8MQ14	40	1090	3.669724770642202	(0, 10]
A8MQ27	171	555	30.810810810810814	(30, 50]
A8MQT2	426	603	70.64676616915423	(70, 90]
A8MT19	23	583	3.9451114922813035	(0, 10]
A8MT66	61	165	36.96969696969697	(30, 50]
A8MT69	7	81	8.641975308641975	(0, 10]
A8MT70	235	800	29.375	(10, 30]
A8MTI9	20	375	5.333333333333334	(0, 10]
A8MTL9	1	139	0.7194244604316548	(0, 10]
A8MTY0	20	619	3.231017770597738	(0, 10]
A8MU46	356	494	72.06477732793523	(70, 90]
A8MU93	118	118	100.0	(90, 100]
A8MUU9	503	505	99.60396039603961	(90, 100]
A8MUV8	20	499	4.008016032064128	(0, 10]
A8MVM7	138	634	21.766561514195583	(10, 30]
A8MVS1	12	300	4.0	(0, 10]
A8MVS5	52	230	22.608695652173914	(10, 30]
A8MVU1	149	366	40.7103825136612	(30, 50]
A8MVW0	434	826	52.54237288135594	(50, 70]
A8MW92	544	1017	53.49065880039331	(50, 70]
A8MWA4	21	300	7.000000000000001	(0, 10]
A8MWD9	4	76	5.263157894736842	(0, 10]
A8MWE9	16	144	11.11111111111111	(10, 30]
A8MWX3	298	477	62.473794549266245	(50, 70]
A8MX19	429	464	92.45689655172413	(90, 100]
A8MXJ8	432	464	93.10344827586206	(90, 100]
A8MXY4	4	864	0.4629629629629629	(0, 10]
A8MXZ1	433	464	93.31896551724138	(90, 100]
A8MYA2	481	514	93.57976653696498	(90, 100]
A8MYJ7	41	566	7.243816254416961	(0, 10]
A8MYP8	130	253	51.38339920948617	(50, 70]
A8MYU2	238	1149	20.713664055700608	(10, 30]
A8MYV0	137	364	37.637362637362635	(30, 50]
A8MYZ0	65	460	14.130434782608695	(10, 30]
A8MYZ6	321	492	65.2439024390244	(50, 70]
A8MZ97	85	194	43.81443298969072	(30, 50]
A8MZF0	312	331	94.25981873111783	(90, 100]
A8TX70	418	2615	15.98470363288719	(10, 30]
A9YTQ3	380	701	54.20827389443652	(50, 70]
B0FP48	22	263	8.365019011406844	(0, 10]
B0I1T2	28	1018	2.75049115913556	(0, 10]
B1AJZ9	649	1412	45.963172804532576	(30, 50]
B1AK53	520	854	60.88992974238876	(50, 70]
B1AKI9	178	464	38.362068965517246	(30, 50]
B1AL46	516	878	58.76993166287016	(50, 70]
B1APH4	84	448	18.75	(10, 30]
B2CW77	47	178	26.40449438202247	(10, 30]
B2RBV5	66	119	55.46218487394958	(50, 70]
B2RNN3	176	333	52.85285285285285	(50, 70]
B2RPK0	157	211	74.40758293838863	(70, 90]
B2RTY4	721	2548	28.296703296703296	(10, 30]
B2RU33	192	542	35.42435424354243	(30, 50]
B2RUY7	2	222	0.9009009009009009	(0, 10]
B2RUZ4	20	78	25.64102564102564	(10, 30]
B2RXF5	148	422	35.07109004739337	(30, 50]
B2RXH2	120	506	23.715415019762844	(10, 30]
B2RXH8	173	293	59.044368600682596	(50, 70]
B3KS81	715	715	100.0	(90, 100]
B3KU38	466	563	82.7708703374778	(70, 90]
B4DH59	437	902	48.447893569844794	(30, 50]
B4DS77	251	424	59.198113207547166	(50, 70]
B4DX44	1	427	0.234192037470726	(0, 10]
B4DXR9	10	585	1.7094017094017095	(0, 10]
B4DYI2	812	1134	71.60493827160494	(70, 90]
B5MCN3	18	397	4.534005037783375	(0, 10]
B5MCY1	46	1934	2.378490175801448	(0, 10]
B5ME19	299	914	32.713347921225385	(30, 50]
B6A8C7	9	271	3.3210332103321036	(0, 10]
B6SEH8	8	477	1.6771488469601679	(0, 10]
B6SEH9	9	535	1.6822429906542056	(0, 10]
B7Z6K7	56	855	6.549707602339182	(0, 10]
B7ZAP0	87	253	34.387351778656125	(30, 50]
B7ZAQ6	1	455	0.21978021978021978	(0, 10]
B7ZBB8	138	358	38.547486033519554	(30, 50]
B7ZW38	170	293	58.02047781569966	(50, 70]
B9A6J9	204	549	37.15846994535519	(30, 50]
B9ZVM9	353	353	100.0	(90, 100]
C4AMC7	270	463	58.31533477321814	(50, 70]
C9J069	649	976	66.49590163934425	(50, 70]
C9J202	27	215	12.558139534883722	(10, 30]
C9J3V5	94	150	62.66666666666667	(50, 70]
C9J798	73	803	9.090909090909092	(0, 10]
C9J7I0	80	137	58.3941605839416	(50, 70]
C9JE40	138	543	25.41436464088398	(10, 30]
C9JH25	295	899	32.81423804226919	(30, 50]
C9JI98	63	176	35.79545454545455	(30, 50]
C9JL84	181	531	34.08662900188324	(30, 50]
C9JLW8	74	97	76.28865979381443	(70, 90]
C9JN71	54	531	10.16949152542373	(10, 30]
C9JQL5	1	133	0.7518796992481203	(0, 10]
C9JRZ8	9	316	2.848101265822785	(0, 10]
C9JTQ0	203	380	53.421052631578945	(50, 70]
C9JVW0	89	142	62.676056338028175	(50, 70]
C9JXX5	28	98	28.57142857142857	(10, 30]
D6RF30	442	607	72.8171334431631	(70, 90]
D6RGH6	176	385	45.714285714285715	(30, 50]
D6RGX4	436	464	93.96551724137932	(90, 100]
D6RIA3	1297	1793	72.33686558839933	(70, 90]
E2RYF7	229	251	91.23505976095618	(90, 100]
E5RIL1	22	263	8.365019011406844	(0, 10]
E7ERA6	74	249	29.71887550200803	(10, 30]
E7ETH6	30	402	7.462686567164178	(0, 10]
E7EW31	957	1015	94.28571428571428	(90, 100]
E9PAV3	1733	2078	83.39749759384023	(70, 90]
E9PRG8	118	123	95.9349593495935	(90, 100]
F2Z3F1	44	127	34.645669291338585	(30, 50]
F5H284	1	164	0.6097560975609756	(0, 10]
F5H4A9	118	247	47.77327935222672	(30, 50]
F5H4B4	166	570	29.122807017543863	(10, 30]
F8WBI6	434	632	68.67088607594937	(50, 70]
G9CGD6	386	899	42.93659621802002	(30, 50]
H0YKK7	278	550	50.54545454545455	(50, 70]
H0YL09	28	131	21.374045801526716	(10, 30]
H3BPF8	453	625	72.48	(70, 90]
H3BPM6	9	223	4.0358744394618835	(0, 10]
H3BQB6	211	276	76.44927536231883	(70, 90]
H3BQL2	462	631	73.21711568938193	(70, 90]
H3BRN8	56	121	46.28099173553719	(30, 50]
H3BSY2	465	632	73.57594936708861	(70, 90]
H3BUK9	205	544	37.68382352941176	(30, 50]
H3BV12	422	632	66.77215189873418	(50, 70]
H3BV60	185	316	58.54430379746836	(50, 70]
H7BZ55	804	1653	48.63883847549909	(30, 50]
H7C350	170	402	42.28855721393035	(30, 50]
I0J062	188	215	87.44186046511628	(70, 90]
I3L273	419	518	80.8880308880309	(70, 90]
I6L899	398	631	63.074484944532486	(50, 70]
L0R6Q1	3	103	2.912621359223301	(0, 10]
L0R819	41	96	42.70833333333333	(30, 50]
O00115	19	360	5.277777777777778	(0, 10]
O00116	104	658	15.80547112462006	(10, 30]
O00124	80	270	29.629629629629626	(10, 30]
O00139	258	706	36.54390934844193	(30, 50]
O00141	58	431	13.45707656612529	(10, 30]
O00148	34	427	7.962529274004685	(0, 10]
O00151	153	329	46.504559270516715	(30, 50]
O00154	71	380	18.684210526315788	(10, 30]
O00159	37	1063	3.4807149576669802	(0, 10]
O00160	161	1098	14.663023679417122	(10, 30]
O00161	146	211	69.19431279620854	(50, 70]
O00165	218	279	78.13620071684588	(70, 90]
O00167	131	538	24.349442379182157	(10, 30]
O00168	28	92	30.434782608695656	(30, 50]
O00170	36	330	10.909090909090908	(10, 30]
O00178	172	669	25.710014947683106	(10, 30]
O00182	46	355	12.957746478873238	(10, 30]
O00186	17	592	2.871621621621622	(0, 10]
O00187	19	686	2.7696793002915454	(0, 10]
O00189	58	453	12.803532008830022	(10, 30]
O00192	527	962	54.781704781704775	(50, 70]
O00193	183	183	100.0	(90, 100]
O00194	49	218	22.477064220183486	(10, 30]
O00203	264	1094	24.131627056672762	(10, 30]
O00204	92	365	25.205479452054796	(10, 30]
O00206	4	839	0.47675804529201427	(0, 10]
O00213	395	710	55.633802816901415	(50, 70]
O00214	21	317	6.624605678233439	(0, 10]
O00217	6	210	2.857142857142857	(0, 10]
O00220	125	468	26.70940170940171	(10, 30]
O00221	247	500	49.4	(30, 50]
O00232	3	456	0.6578947368421052	(0, 10]
O00233	99	223	44.39461883408072	(30, 50]
O00237	31	685	4.525547445255475	(0, 10]
O00238	47	502	9.362549800796813	(0, 10]
O00241	48	398	12.060301507537687	(10, 30]
O00253	6	132	4.545454545454546	(0, 10]
O00255	208	615	33.82113821138211	(30, 50]
O00257	437	560	78.03571428571429	(70, 90]
O00264	56	195	28.717948717948715	(10, 30]
O00267	571	1087	52.52989880404784	(50, 70]
O00268	1037	1085	95.57603686635944	(90, 100]
O00273	140	331	42.296072507552864	(30, 50]
O00287	218	272	80.14705882352942	(70, 90]
O00291	238	1037	22.950819672131146	(10, 30]
O00292	17	366	4.644808743169399	(0, 10]
O00294	31	542	5.719557195571956	(0, 10]
O00299	20	241	8.29875518672199	(0, 10]
O00300	12	401	2.9925187032418954	(0, 10]
O00303	100	357	28.011204481792717	(10, 30]
O00308	349	870	40.11494252873563	(30, 50]
O00311	118	574	20.557491289198605	(10, 30]
O00327	262	626	41.853035143769965	(30, 50]
O00329	113	1044	10.82375478927203	(10, 30]
O00330	181	501	36.12774451097805	(30, 50]
O00337	10	649	1.5408320493066257	(0, 10]
O00338	52	296	17.56756756756757	(10, 30]
O00339	93	956	9.728033472803348	(0, 10]
O00341	14	560	2.5	(0, 10]
O00358	89	373	23.86058981233244	(10, 30]
O00370	53	1275	4.156862745098039	(0, 10]
O00391	144	747	19.27710843373494	(10, 30]
O00400	49	549	8.925318761384334	(0, 10]
O00401	373	505	73.86138613861387	(70, 90]
O00408	97	941	10.30818278427205	(10, 30]
O00409	306	490	62.44897959183674	(50, 70]
O00410	31	1097	2.8258887876025525	(0, 10]
O00411	266	1230	21.6260162601626	(10, 30]
O00418	233	725	32.13793103448276	(30, 50]
O00421	21	344	6.104651162790697	(0, 10]
O00422	64	153	41.830065359477125	(30, 50]
O00423	137	815	16.809815950920246	(10, 30]
O00425	135	579	23.316062176165804	(10, 30]
O00429	169	736	22.96195652173913	(10, 30]
O00442	7	366	1.912568306010929	(0, 10]
O00443	180	1686	10.676156583629894	(10, 30]
O00444	382	970	39.381443298969074	(30, 50]
O00453	39	97	40.20618556701031	(30, 50]
O00458	76	451	16.851441241685144	(10, 30]
O00459	261	728	35.85164835164835	(30, 50]
O00461	596	696	85.63218390804597	(70, 90]
O00462	2	879	0.22753128555176336	(0, 10]
O00463	19	557	3.4111310592459607	(0, 10]
O00470	208	390	53.333333333333336	(50, 70]
O00471	13	708	1.8361581920903955	(0, 10]
O00472	350	640	54.6875	(50, 70]
O00478	103	584	17.636986301369863	(10, 30]
O00479	90	90	100.0	(90, 100]
O00481	79	513	15.39961013645224	(10, 30]
O00482	181	541	33.45656192236599	(30, 50]
O00483	1	81	1.2345679012345678	(0, 10]
O00487	54	310	17.419354838709676	(10, 30]
O00488	115	134	85.82089552238806	(70, 90]
O00499	336	593	56.66104553119731	(50, 70]
O00505	64	521	12.284069097888676	(10, 30]
O00506	115	426	26.995305164319248	(10, 30]
O00507	253	2555	9.90215264187867	(0, 10]
O00512	1424	1426	99.85974754558204	(90, 100]
O00515	485	517	93.81044487427465	(90, 100]
O00519	20	579	3.454231433506045	(0, 10]
O00522	133	736	18.070652173913043	(10, 30]
O00533	250	1208	20.695364238410598	(10, 30]
O00534	41	786	5.216284987277354	(0, 10]
O00541	175	588	29.761904761904763	(10, 30]
O00555	1060	2506	42.29848363926576	(30, 50]
O00559	126	213	59.154929577464785	(50, 70]
O00560	3	298	1.006711409395973	(0, 10]
O00562	371	1244	29.82315112540193	(10, 30]
O00566	401	681	58.883994126284875	(50, 70]
O00567	174	594	29.292929292929294	(10, 30]
O00571	234	662	35.34743202416919	(30, 50]
O00584	24	256	9.375	(0, 10]
O00592	402	558	72.04301075268818	(70, 90]
O00623	9	359	2.5069637883008355	(0, 10]
O00629	111	521	21.30518234165067	(10, 30]
O00712	217	420	51.66666666666667	(50, 70]
O00716	189	465	40.64516129032258	(30, 50]
O00744	47	389	12.082262210796916	(10, 30]
O00750	326	1634	19.951040391676866	(10, 30]
O00757	10	339	2.949852507374631	(0, 10]
O00763	290	2458	11.798209926769731	(10, 30]
O00764	29	312	9.294871794871796	(0, 10]
O00767	3	359	0.8356545961002786	(0, 10]
O14490	555	977	56.80655066530195	(50, 70]
O14492	252	632	39.87341772151899	(30, 50]
