ACC_ID	Pfam_ID	#Psites_pfam	#pS	#pT	#pY	STY_count	countS	countT	countY	domain_length	perc.psites	Pfam_fam	Pfam_short	Pfam_desc
P12018	PF07686	1	1	0	0	23	12	4	7	109	4.34782608695652	Ig	V-set	Immunoglobulin V-set domain
P78324	PF07686	2	1	0	1	20	7	10	3	108	10	Ig	V-set	Immunoglobulin V-set domain
Q6UXE8	PF07686	1	1	0	0	18	9	5	4	111	5.55555555555556	Ig	V-set	Immunoglobulin V-set domain
Q93033	PF07686	1	0	1	0	78	34	28	16	358	1.28205128205128	Ig	V-set	Immunoglobulin V-set domain
Q96BF3	PF07686	1	1	0	0	15	7	6	2	108	6.66666666666667	Ig	V-set	Immunoglobulin V-set domain
Q9H106	PF07686	1	0	1	0	24	8	12	4	107	4.16666666666667	Ig	V-set	Immunoglobulin V-set domain
Q9H7M9	PF07686	1	0	1	0	24	10	9	5	132	4.16666666666667	Ig	V-set	Immunoglobulin V-set domain
Q9UKJ1	PF07686	1	1	0	0	27	15	7	5	115	3.7037037037037	Ig	V-set	Immunoglobulin V-set domain
A0A087WUL8	PF06758	3	3	0	0	565	344	58	163	2964	0.530973451327434		Olduvai	Olduvai domain
B4DH59	PF06758	1	1	0	0	125	74	20	31	654	0.8		Olduvai	Olduvai domain
P0C2Y1	PF06758	1	0	1	0	23	15	6	2	134	4.34782608695652		Olduvai	Olduvai domain
P0DPF2	PF06758	4	2	2	0	823	500	86	237	4215	0.486026731470231		Olduvai	Olduvai domain
P0DPF3	PF06758	4	4	0	0	116	71	17	28	585	3.44827586206897		Olduvai	Olduvai domain
Q3BBV0	PF06758	2	2	0	0	100	63	17	20	516	2		Olduvai	Olduvai domain
Q3BBV2	PF06758	3	3	0	0	88	56	14	18	441	3.40909090909091		Olduvai	Olduvai domain
Q5TAG4	PF06758	2	2	0	0	140	86	22	32	714	1.42857142857143		Olduvai	Olduvai domain
Q5TI25	PF06758	2	2	0	0	129	78	18	33	654	1.55038759689923		Olduvai	Olduvai domain
Q6P3W6	PF06758	1	1	0	0	79	48	15	16	386	1.26582278481013		Olduvai	Olduvai domain
Q86T75	PF06758	1	1	0	0	71	44	14	13	386	1.40845070422535		Olduvai	Olduvai domain
A0A087X1C5	PF00067	1	1	0	0	53	24	24	5	467	1.88679245283019		p450	Cytochrome P450
O15528	PF00067	1	1	0	0	60	27	25	8	465	1.66666666666667		p450	Cytochrome P450
O75881	PF00067	2	1	1	0	71	30	23	18	455	2.8169014084507		p450	Cytochrome P450
P04798	PF00067	1	1	0	0	72	36	23	13	462	1.38888888888889		p450	Cytochrome P450
P05093	PF00067	2	2	0	0	61	31	23	7	466	3.27868852459016		p450	Cytochrome P450
P05177	PF00067	3	3	0	0	72	34	28	10	464	4.16666666666667		p450	Cytochrome P450
P05181	PF00067	1	1	0	0	59	18	23	18	457	1.69491525423729		p450	Cytochrome P450
P08684	PF00067	2	2	0	0	65	27	24	14	456	3.07692307692308		p450	Cytochrome P450
P08686	PF00067	1	0	1	0	55	24	20	11	454	1.81818181818182		p450	Cytochrome P450
P10632	PF00067	1	1	0	0	67	25	31	11	458	1.49253731343284		p450	Cytochrome P450
P10635	PF00067	1	1	0	0	53	23	25	5	461	1.88679245283019		p450	Cytochrome P450
P11509	PF00067	2	1	1	0	64	28	25	11	458	3.125		p450	Cytochrome P450
P15538	PF00067	1	1	0	0	59	29	17	13	457	1.69491525423729		p450	Cytochrome P450
P19099	PF00067	1	1	0	0	55	26	17	12	458	1.81818181818182		p450	Cytochrome P450
P20815	PF00067	2	2	0	0	72	29	28	15	455	2.77777777777778		p450	Cytochrome P450
P20853	PF00067	1	0	1	0	65	31	25	9	458	1.53846153846154		p450	Cytochrome P450
P22680	PF00067	2	0	1	1	72	27	28	17	466	2.77777777777778		p450	Cytochrome P450
P24462	PF00067	1	1	0	0	69	26	28	15	456	1.44927536231884		p450	Cytochrome P450
P33261	PF00067	1	1	0	0	60	22	27	11	458	1.66666666666667		p450	Cytochrome P450
P51589	PF00067	1	1	0	0	66	24	33	9	455	1.51515151515152		p450	Cytochrome P450
P98187	PF00067	1	1	0	0	57	23	25	9	464	1.75438596491228		p450	Cytochrome P450
Q02928	PF00067	1	0	1	0	63	30	21	12	455	1.58730158730159		p450	Cytochrome P450
Q16647	PF00067	1	1	0	0	64	29	19	16	465	1.5625		p450	Cytochrome P450
Q16678	PF00067	3	3	0	0	57	31	17	9	470	5.26315789473684		p450	Cytochrome P450
Q16696	PF00067	3	1	2	0	62	25	26	11	458	4.83870967741936		p450	Cytochrome P450
Q5TCH4	PF00067	2	0	2	0	63	31	20	12	455	3.17460317460317		p450	Cytochrome P450
Q6NT55	PF00067	1	0	1	0	62	27	18	17	465	1.61290322580645		p450	Cytochrome P450
Q6ZWL3	PF00067	3	3	0	0	61	25	20	16	467	4.91803278688525		p450	Cytochrome P450
Q86W10	PF00067	1	1	0	0	67	37	18	12	454	1.49253731343284		p450	Cytochrome P450
Q8N118	PF00067	2	2	0	0	78	36	25	17	457	2.56410256410256		p450	Cytochrome P450
Q8TAV3	PF00067	2	0	2	0	48	17	24	7	455	4.16666666666667		p450	Cytochrome P450
Q9UNU6	PF00067	1	1	0	0	68	30	24	14	461	1.47058823529412		p450	Cytochrome P450
A0A0A6YYL3	PF14915	1	1	0	0	7	3	4	0	56	14.2857142857143		CCDC144C	CCDC144C protein coiled-coil region
A0JP26	PF14915	1	1	0	0	6	3	3	0	56	16.6666666666667		CCDC144C	CCDC144C protein coiled-coil region
A2A2Z9	PF14915	2	1	1	0	31	15	9	7	292	6.45161290322581		CCDC144C	CCDC144C protein coiled-coil region
A5A3E0	PF14915	1	0	1	0	8	3	4	1	60	12.5		CCDC144C	CCDC144C protein coiled-coil region
A6NC57	PF14915	1	0	1	0	42	17	17	8	294	2.38095238095238		CCDC144C	CCDC144C protein coiled-coil region
H3BUK9	PF14915	1	1	0	0	7	3	4	0	56	14.2857142857143		CCDC144C	CCDC144C protein coiled-coil region
P0CG38	PF14915	1	0	1	0	8	3	4	1	60	12.5		CCDC144C	CCDC144C protein coiled-coil region
P0CG39	PF14915	1	0	1	0	7	3	3	1	60	14.2857142857143		CCDC144C	CCDC144C protein coiled-coil region
Q4UJ75	PF14915	1	0	1	0	40	18	16	6	293	2.5		CCDC144C	CCDC144C protein coiled-coil region
Q5CZ79	PF14915	1	0	1	0	37	16	15	6	293	2.7027027027027		CCDC144C	CCDC144C protein coiled-coil region
Q5SQ80	PF14915	1	0	1	0	40	18	16	6	293	2.5		CCDC144C	CCDC144C protein coiled-coil region
Q5TYW2	PF14915	1	0	1	0	40	18	16	6	293	2.5		CCDC144C	CCDC144C protein coiled-coil region
Q5VUR7	PF14915	1	0	1	0	41	18	16	7	293	2.4390243902439		CCDC144C	CCDC144C protein coiled-coil region
Q6S8J3	PF14915	1	0	1	0	8	3	4	1	60	12.5		CCDC144C	CCDC144C protein coiled-coil region
Q8IVF6	PF14915	3	2	1	0	30	15	9	6	292	10		CCDC144C	CCDC144C protein coiled-coil region
Q8NF67	PF14915	1	0	1	0	8	4	2	2	99	12.5		CCDC144C	CCDC144C protein coiled-coil region
Q9BXX2	PF14915	1	0	1	0	36	14	13	9	290	2.77777777777778		CCDC144C	CCDC144C protein coiled-coil region
Q9BXX3	PF14915	1	0	1	0	38	17	12	9	292	2.63157894736842		CCDC144C	CCDC144C protein coiled-coil region
A0A0B4J2F2	PF00069	1	1	0	0	33	12	11	10	252	3.03030303030303	PKinase	Pkinase	Protein kinase domain
O00141	PF00069	1	0	1	0	34	11	10	13	258	2.94117647058823	PKinase	Pkinase	Protein kinase domain
O00506	PF00069	6	2	4	0	35	13	14	8	251	17.1428571428571	PKinase	Pkinase	Protein kinase domain
O14733	PF00069	1	0	1	0	32	12	13	7	261	3.125	PKinase	Pkinase	Protein kinase domain
O14936	PF00069	2	2	0	0	33	16	7	10	265	6.06060606060606	PKinase	Pkinase	Protein kinase domain
O14965	PF00069	1	0	0	1	37	13	12	12	251	2.7027027027027	PKinase	Pkinase	Protein kinase domain
O14976	PF00069	2	1	1	0	40	17	13	10	274	5	PKinase	Pkinase	Protein kinase domain
O15264	PF00069	3	0	2	1	44	16	15	13	284	6.81818181818182	PKinase	Pkinase	Protein kinase domain
O15530	PF00069	3	1	1	1	39	14	12	13	261	7.69230769230769	PKinase	Pkinase	Protein kinase domain
O43683	PF00069	1	1	0	0	30	9	9	12	246	3.33333333333333	PKinase	Pkinase	Protein kinase domain
O43781	PF00069	2	1	0	1	43	21	10	12	314	4.65116279069768	PKinase	Pkinase	Protein kinase domain
O43930	PF00069	1	0	1	0	30	10	11	9	223	3.33333333333333	PKinase	Pkinase	Protein kinase domain
O60285	PF00069	2	1	0	1	38	16	9	13	252	5.26315789473684	PKinase	Pkinase	Protein kinase domain
O75385	PF00069	1	1	0	0	32	14	9	9	263	3.125	PKinase	Pkinase	Protein kinase domain
O75582	PF00069	1	0	0	1	73	30	28	15	531	1.36986301369863	PKinase	Pkinase	Protein kinase domain
O75676	PF00069	1	0	0	1	66	31	21	14	532	1.51515151515152	PKinase	Pkinase	Protein kinase domain
O75914	PF00069	3	1	2	0	34	11	14	9	252	8.82352941176471	PKinase	Pkinase	Protein kinase domain
O76039	PF00069	1	0	0	1	34	13	9	12	285	2.94117647058823	PKinase	Pkinase	Protein kinase domain
O94804	PF00069	3	1	2	0	30	9	13	8	259	10	PKinase	Pkinase	Protein kinase domain
O94806	PF00069	3	2	1	0	30	17	7	6	256	10	PKinase	Pkinase	Protein kinase domain
O94921	PF00069	1	0	0	1	46	18	15	13	285	2.17391304347826	PKinase	Pkinase	Protein kinase domain
O95382	PF00069	1	0	0	1	43	19	15	9	258	2.32558139534884	PKinase	Pkinase	Protein kinase domain
O95747	PF00069	2	1	1	0	38	15	14	9	275	5.26315789473684	PKinase	Pkinase	Protein kinase domain
O95819	PF00069	4	1	3	0	35	11	14	10	265	11.4285714285714	PKinase	Pkinase	Protein kinase domain
O96013	PF00069	3	1	1	1	28	14	8	6	252	10.7142857142857	PKinase	Pkinase	Protein kinase domain
O96017	PF00069	5	3	2	0	39	15	14	10	267	12.8205128205128	PKinase	Pkinase	Protein kinase domain
P05129	PF00069	4	0	3	1	35	9	15	11	263	11.4285714285714	PKinase	Pkinase	Protein kinase domain
P05771	PF00069	4	0	2	2	29	9	9	11	259	13.7931034482759	PKinase	Pkinase	Protein kinase domain
P06493	PF00069	9	1	3	5	48	21	13	14	284	18.75	PKinase	Pkinase	Protein kinase domain
P17252	PF00069	3	0	2	1	31	10	9	12	259	9.67741935483871	PKinase	Pkinase	Protein kinase domain
P17612	PF00069	4	1	3	0	33	11	10	12	255	12.1212121212121	PKinase	Pkinase	Protein kinase domain
P19525	PF00069	3	1	1	1	45	20	16	9	271	6.66666666666667	PKinase	Pkinase	Protein kinase domain
P19784	PF00069	1	1	0	0	37	10	8	19	286	2.7027027027027	PKinase	Pkinase	Protein kinase domain
P21127	PF00069	5	2	1	2	41	14	15	12	286	12.1951219512195	PKinase	Pkinase	Protein kinase domain
P22612	PF00069	2	0	2	0	31	12	7	12	255	6.45161290322581	PKinase	Pkinase	Protein kinase domain
P22694	PF00069	4	1	3	0	36	11	11	14	255	11.1111111111111	PKinase	Pkinase	Protein kinase domain
P23443	PF00069	1	0	1	0	30	6	15	9	262	3.33333333333333	PKinase	Pkinase	Protein kinase domain
P24941	PF00069	5	0	3	2	40	14	16	10	283	12.5	PKinase	Pkinase	Protein kinase domain
P27361	PF00069	5	1	3	1	49	18	15	16	289	10.2040816326531	PKinase	Pkinase	Protein kinase domain
P27448	PF00069	3	1	2	0	31	10	11	10	252	9.67741935483871	PKinase	Pkinase	Protein kinase domain
P28482	PF00069	5	1	3	1	43	14	13	16	289	11.6279069767442	PKinase	Pkinase	Protein kinase domain
P30291	PF00069	1	1	0	0	35	22	5	8	271	2.85714285714286	PKinase	Pkinase	Protein kinase domain
P31152	PF00069	1	1	0	0	36	15	11	10	293	2.77777777777778	PKinase	Pkinase	Protein kinase domain
P31749	PF00069	2	0	2	0	32	9	11	12	259	6.25	PKinase	Pkinase	Protein kinase domain
P31751	PF00069	3	1	2	0	33	8	13	12	258	9.09090909090909	PKinase	Pkinase	Protein kinase domain
P32298	PF00069	1	0	1	0	29	9	8	12	263	3.44827586206897	PKinase	Pkinase	Protein kinase domain
P36507	PF00069	6	6	0	0	35	21	6	8	298	17.1428571428571	PKinase	Pkinase	Protein kinase domain
P41279	PF00069	2	2	0	0	34	15	10	9	250	5.88235294117647	PKinase	Pkinase	Protein kinase domain
P41743	PF00069	2	0	2	0	36	16	10	10	269	5.55555555555556	PKinase	Pkinase	Protein kinase domain
P45983	PF00069	2	0	1	1	40	15	10	15	296	5	PKinase	Pkinase	Protein kinase domain
P45984	PF00069	2	0	1	1	39	14	13	12	296	5.12820512820513	PKinase	Pkinase	Protein kinase domain
P45985	PF00069	3	3	0	0	42	22	9	11	266	7.14285714285714	PKinase	Pkinase	Protein kinase domain
P46734	PF00069	2	2	0	0	37	16	12	9	262	5.40540540540541	PKinase	Pkinase	Protein kinase domain
P49137	PF00069	2	1	0	1	42	15	15	12	262	4.76190476190476	PKinase	Pkinase	Protein kinase domain
P49759	PF00069	2	1	0	1	45	16	16	13	317	4.44444444444444	PKinase	Pkinase	Protein kinase domain
P49840	PF00069	3	2	0	1	50	19	14	17	285	6	PKinase	Pkinase	Protein kinase domain
P49841	PF00069	3	2	0	1	49	16	15	18	285	6.12244897959184	PKinase	Pkinase	Protein kinase domain
P50613	PF00069	4	2	1	1	36	12	15	9	284	11.1111111111111	PKinase	Pkinase	Protein kinase domain
P50750	PF00069	2	0	1	1	33	10	11	12	297	6.06060606060606	PKinase	Pkinase	Protein kinase domain
P51617	PF00069	2	2	0	0	46	18	18	10	306	4.34782608695652	PKinase	Pkinase	Protein kinase domain
P51812	PF00069	7	3	2	2	75	28	27	20	518	9.33333333333333	PKinase	Pkinase	Protein kinase domain
P51817	PF00069	2	1	1	0	31	10	13	8	255	6.45161290322581	PKinase	Pkinase	Protein kinase domain
P51955	PF00069	1	1	0	0	46	14	16	16	264	2.17391304347826	PKinase	Pkinase	Protein kinase domain
P52564	PF00069	1	1	0	0	37	18	11	8	262	2.7027027027027	PKinase	Pkinase	Protein kinase domain
P53350	PF00069	2	0	2	0	32	12	11	9	253	6.25	PKinase	Pkinase	Protein kinase domain
P53778	PF00069	3	1	1	1	36	9	15	12	285	8.33333333333333	PKinase	Pkinase	Protein kinase domain
P53779	PF00069	2	0	1	1	39	14	11	14	296	5.12820512820513	PKinase	Pkinase	Protein kinase domain
P54646	PF00069	5	3	1	1	31	11	10	10	253	16.1290322580645	PKinase	Pkinase	Protein kinase domain
P57059	PF00069	1	1	0	0	33	12	11	10	252	3.03030303030303	PKinase	Pkinase	Protein kinase domain
P57078	PF00069	1	0	0	1	27	12	8	7	261	3.7037037037037	PKinase	Pkinase	Protein kinase domain
P68400	PF00069	2	1	0	1	38	11	8	19	286	5.26315789473684	PKinase	Pkinase	Protein kinase domain
P78362	PF00069	2	1	1	0	40	18	11	11	326	5	PKinase	Pkinase	Protein kinase domain
Q00526	PF00069	6	0	3	3	41	14	16	11	283	14.6341463414634	PKinase	Pkinase	Protein kinase domain
Q00534	PF00069	2	2	0	0	42	17	17	8	288	4.76190476190476	PKinase	Pkinase	Protein kinase domain
Q00535	PF00069	7	4	1	2	35	13	12	10	283	20	PKinase	Pkinase	Protein kinase domain
Q00536	PF00069	3	0	2	1	44	12	19	13	282	6.81818181818182	PKinase	Pkinase	Protein kinase domain
Q00537	PF00069	4	1	2	1	46	17	15	14	282	8.69565217391304	PKinase	Pkinase	Protein kinase domain
Q02750	PF00069	8	5	2	1	38	24	5	9	294	21.0526315789474	PKinase	Pkinase	Protein kinase domain
Q04759	PF00069	3	0	2	1	26	9	9	8	255	11.5384615384615	PKinase	Pkinase	Protein kinase domain
Q05513	PF00069	1	0	1	0	32	12	11	9	267	3.125	PKinase	Pkinase	Protein kinase domain
Q05655	PF00069	3	0	2	1	31	9	13	9	255	9.67741935483871	PKinase	Pkinase	Protein kinase domain
Q05823	PF00069	1	1	0	0	24	13	6	5	157	4.16666666666667	PKinase	Pkinase	Protein kinase domain
Q07002	PF00069	2	1	0	1	52	19	20	13	282	3.84615384615385	PKinase	Pkinase	Protein kinase domain
Q12851	PF00069	1	1	0	0	34	12	14	8	258	2.94117647058823	PKinase	Pkinase	Protein kinase domain
Q13043	PF00069	3	1	1	1	38	12	17	9	252	7.89473684210526	PKinase	Pkinase	Protein kinase domain
Q13131	PF00069	6	3	2	1	34	15	9	10	253	17.6470588235294	PKinase	Pkinase	Protein kinase domain
Q13153	PF00069	2	1	1	0	34	11	14	9	252	5.88235294117647	PKinase	Pkinase	Protein kinase domain
Q13163	PF00069	2	1	1	0	39	17	10	12	254	5.12820512820513	PKinase	Pkinase	Protein kinase domain
Q13164	PF00069	2	0	0	2	42	16	12	14	293	4.76190476190476	PKinase	Pkinase	Protein kinase domain
Q13177	PF00069	2	1	1	0	32	10	14	8	252	6.25	PKinase	Pkinase	Protein kinase domain
Q13188	PF00069	1	0	1	0	37	13	15	9	252	2.7027027027027	PKinase	Pkinase	Protein kinase domain
Q13237	PF00069	1	0	1	0	31	9	12	10	259	3.2258064516129	PKinase	Pkinase	Protein kinase domain
Q13464	PF00069	1	0	1	0	38	15	9	14	263	2.63157894736842	PKinase	Pkinase	Protein kinase domain
Q13523	PF00069	3	2	0	1	36	12	11	13	317	8.33333333333333	PKinase	Pkinase	Protein kinase domain
Q13554	PF00069	2	2	0	0	30	10	8	12	259	6.66666666666667	PKinase	Pkinase	Protein kinase domain
Q13555	PF00069	2	2	0	0	31	11	9	11	259	6.45161290322581	PKinase	Pkinase	Protein kinase domain
Q13557	PF00069	4	3	1	0	31	12	8	11	259	12.9032258064516	PKinase	Pkinase	Protein kinase domain
Q13627	PF00069	1	0	0	1	41	14	12	15	321	2.4390243902439	PKinase	Pkinase	Protein kinase domain
Q13976	PF00069	1	0	1	0	37	13	13	11	260	2.7027027027027	PKinase	Pkinase	Protein kinase domain
Q14004	PF00069	2	1	1	0	34	11	11	12	294	5.88235294117647	PKinase	Pkinase	Protein kinase domain
Q14012	PF00069	1	0	1	0	36	16	6	14	257	2.77777777777778	PKinase	Pkinase	Protein kinase domain
Q15131	PF00069	2	0	1	1	41	14	17	10	285	4.87804878048781	PKinase	Pkinase	Protein kinase domain
Q15139	PF00069	3	2	1	0	28	14	8	6	256	10.7142857142857	PKinase	Pkinase	Protein kinase domain
Q15208	PF00069	5	3	1	1	42	15	17	10	294	11.9047619047619	PKinase	Pkinase	Protein kinase domain
Q15349	PF00069	5	3	2	0	71	29	21	21	518	7.04225352112676	PKinase	Pkinase	Protein kinase domain
Q15418	PF00069	9	4	3	2	77	28	28	21	518	11.6883116883117	PKinase	Pkinase	Protein kinase domain
Q15759	PF00069	1	1	0	0	42	20	10	12	285	2.38095238095238	PKinase	Pkinase	Protein kinase domain
Q16512	PF00069	3	0	2	1	32	15	9	8	260	9.375	PKinase	Pkinase	Protein kinase domain
Q16513	PF00069	2	0	2	0	31	10	12	9	260	6.45161290322581	PKinase	Pkinase	Protein kinase domain
Q16539	PF00069	4	2	1	1	41	14	16	11	285	9.75609756097561	PKinase	Pkinase	Protein kinase domain
Q16566	PF00069	1	1	0	0	34	9	13	12	255	2.94117647058823	PKinase	Pkinase	Protein kinase domain
Q16644	PF00069	3	0	0	3	36	12	14	10	261	8.33333333333333	PKinase	Pkinase	Protein kinase domain
Q16659	PF00069	1	1	0	0	39	16	13	10	297	2.56410256410256	PKinase	Pkinase	Protein kinase domain
Q38SD2	PF00069	2	0	1	1	37	21	7	9	279	5.40540540540541	PKinase	Pkinase	Protein kinase domain
Q52WX2	PF00069	1	0	1	0	28	9	13	6	263	3.57142857142857	PKinase	Pkinase	Protein kinase domain
Q5VST9	PF00069	1	0	1	0	76	42	17	17	507	1.31578947368421	PKinase	Pkinase	Protein kinase domain
Q6A1A2	PF00069	3	1	1	1	40	14	12	14	261	7.5	PKinase	Pkinase	Protein kinase domain
Q6P3R8	PF00069	1	1	0	0	28	17	4	7	256	3.57142857142857	PKinase	Pkinase	Protein kinase domain
Q6P5Z2	PF00069	1	0	1	0	25	7	10	8	260	4	PKinase	Pkinase	Protein kinase domain
Q6PHR2	PF00069	1	1	0	0	32	19	6	7	257	3.125	PKinase	Pkinase	Protein kinase domain
Q7KZI7	PF00069	5	3	2	0	32	12	10	10	252	15.625	PKinase	Pkinase	Protein kinase domain
Q7L7X3	PF00069	1	0	0	1	40	19	11	10	254	2.5	PKinase	Pkinase	Protein kinase domain
Q86UX6	PF00069	1	0	1	0	35	14	10	11	260	2.85714285714286	PKinase	Pkinase	Protein kinase domain
Q86YV5	PF00069	1	0	1	0	24	13	6	5	245	4.16666666666667	PKinase	Pkinase	Protein kinase domain
Q86Z02	PF00069	2	0	0	2	53	20	16	17	329	3.77358490566038	PKinase	Pkinase	Protein kinase domain
Q8IU85	PF00069	3	1	2	0	40	17	8	15	257	7.5	PKinase	Pkinase	Protein kinase domain
Q8IVH8	PF00069	2	0	1	1	33	11	12	10	258	6.06060606060606	PKinase	Pkinase	Protein kinase domain
Q8IW41	PF00069	3	1	2	0	37	17	13	7	283	8.10810810810811	PKinase	Pkinase	Protein kinase domain
Q8IZL9	PF00069	1	0	1	0	27	11	5	11	285	3.7037037037037	PKinase	Pkinase	Protein kinase domain
Q8N2I9	PF00069	1	0	1	0	39	16	14	9	289	2.56410256410256	PKinase	Pkinase	Protein kinase domain
Q8N4C8	PF00069	4	1	3	0	34	9	15	10	265	11.7647058823529	PKinase	Pkinase	Protein kinase domain
Q8NE63	PF00069	1	1	0	0	37	15	11	11	337	2.7027027027027	PKinase	Pkinase	Protein kinase domain
Q8NEV1	PF00069	3	2	0	1	37	10	8	19	286	8.10810810810811	PKinase	Pkinase	Protein kinase domain
Q8TD19	PF00069	1	0	1	0	38	12	13	13	257	2.63157894736842	PKinase	Pkinase	Protein kinase domain
Q8TDX7	PF00069	7	3	3	1	36	15	7	14	259	19.4444444444444	PKinase	Pkinase	Protein kinase domain
Q8WXR4	PF00069	1	1	0	0	35	12	14	9	267	2.85714285714286	PKinase	Pkinase	Protein kinase domain
Q92630	PF00069	1	0	0	1	37	17	9	11	314	2.7027027027027	PKinase	Pkinase	Protein kinase domain
Q92772	PF00069	1	1	0	0	24	7	6	11	284	4.16666666666667	PKinase	Pkinase	Protein kinase domain
Q96GD4	PF00069	2	0	1	1	28	11	6	11	251	7.14285714285714	PKinase	Pkinase	Protein kinase domain
Q96J92	PF00069	2	2	0	0	41	15	17	9	259	4.87804878048781	PKinase	Pkinase	Protein kinase domain
Q96KB5	PF00069	5	3	1	1	40	17	12	11	286	12.5	PKinase	Pkinase	Protein kinase domain
Q96L34	PF00069	3	1	2	0	33	13	10	10	252	9.09090909090909	PKinase	Pkinase	Protein kinase domain
Q96Q40	PF00069	1	1	0	0	40	17	12	11	285	2.5	PKinase	Pkinase	Protein kinase domain
Q96SB4	PF00069	1	0	1	0	41	14	16	11	331	2.4390243902439	PKinase	Pkinase	Protein kinase domain
