STY_count	#Psites_pfam	perc_phos_indomain	Phos_contribution_fromallproteins_toproteome_92453	Pfam_ID	#Proteins	avgDomain_length	avgSTY_count	#avgPsites_pfam	avg_perc_phos_indomain	avg_#pS	avg_#pT	avg_#pY	avg_countS	avg_countT	avg_countY	Pfam_desc	Pfam_short
680	72	10.588235294117647	0.07787740798027105	PF00017	40	92	17	1.8	10.588	0.78	0.22	0.8	8	4	5	SH2 domain	SH2
146	25	17.123287671232877	0.02704076665981634	PF00018	19	53	8	1.32	16.5	0.74	0.16	0.42	3	2	2	SH3 domain	SH3_1
32	2	6.25	0.0021632613327853068	PF00019	2	104	16	1.0	6.25	0.5	0.0	0.5	7	4	4	Transforming growth factor beta like domain	TGF_beta
29	3	10.344827586206897	0.0032448919991779606	PF00020	2	80	14	1.5	10.714	1.0	0.5	0.0	6	6	2	TNFR/NGFR cysteine-rich region	TNFR_c6
27	1	3.7037037037037033	0.0010816306663926534	PF00021	1	165	27	1.0	3.704	1.0	0.0	0.0	13	10	4	u-PAR/Ly-6 domain	UPAR_LY6
1581	229	14.484503478810879	0.24769342260391766	PF00022	25	393	63	9.16	14.54	3.72	2.64	2.8	26	23	15	Actin	Actin
200	8	4.0	0.008653045331141227	PF00023	5	332	40	1.6	4.0	0.8	0.6	0.2	14	19	7	Ankyrin repeat	Ank
84	2	2.380952380952381	0.0021632613327853068	PF00024	2	208	42	1.0	2.381	0.5	0.5	0.0	18	15	8	PAN domain	PAN_1
348	25	7.183908045977011	0.02704076665981634	PF00025	15	171	23	1.67	7.261	0.87	0.33	0.47	9	10	4	ADP-ribosylation factor family	Arf
78	3	3.8461538461538463	0.0032448919991779606	PF00027	3	179	26	1.0	3.846	1.0	0.0	0.0	8	12	6	Cyclic nucleotide-binding domain	cNMP_binding
5640	47	0.8333333333333334	0.05083664132045472	PF00028	35	812	161	1.34	0.832	0.69	0.54	0.11	70	63	29	Cadherin domain	Cadherin
210	7	3.3333333333333335	0.007571414664748575	PF00029	6	238	35	1.17	3.343	1.0	0.17	0.0	14	12	9	Connexin	Connexin
92	4	4.3478260869565215	0.0043265226655706136	PF00030	3	167	31	1.33	4.29	0.33	0.67	0.33	15	5	11	Beta/Gamma crystallin	Crystall
97	7	7.216494845360824	0.007571414664748575	PF00031	4	140	24	1.75	7.292	1.0	0.5	0.25	8	10	6	Cystatin domain	Cystatin
14	5	35.714285714285715	0.005408153331963267	PF00034	1	100	14	5.0	35.714	1.0	1.0	3.0	2	7	5	Cytochrome c	Cytochrom_C
140	12	8.571428571428571	0.012979567996711842	PF00035	8	130	18	1.5	8.333	0.75	0.38	0.38	8	6	4	Double-stranded RNA binding motif	dsrm
19	3	15.789473684210526	0.0032448919991779606	PF00036	3	58	6	1.0	16.667	0.67	0.0	0.33	3	3	1	EF hand	EF-hand_1
2103	240	11.412268188302425	0.2595913599342369	PF00038	54	315	39	4.44	11.385	2.93	0.63	0.89	17	13	9	Intermediate filament protein	Filament
38	2	5.263157894736842	0.0021632613327853068	PF00040	2	83	19	1.0	5.263	0.0	0.5	0.5	6	8	6	Fibronectin type II domain	fn2
6362	77	1.210311222885885	0.08328556131223433	PF00041	38	815	167	2.03	1.216	1.11	0.66	0.26	68	66	34	Fibronectin type III domain	fn3
71	16	22.535211267605636	0.017306090662282454	PF00042	6	105	12	2.67	22.25	1.5	0.83	0.33	6	5	1	Globin	Globin
13	2	15.384615384615385	0.0021632613327853068	PF00043	2	116	6	1.0	16.667	0.0	1.0	0.0	1	3	2	Glutathione S-transferase, C-terminal domain	GST_C
15	3	20.0	0.0032448919991779606	PF00044	1	102	15	3.0	20.0	1.0	1.0	1.0	4	7	4	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	Gp_dh_N
134	5	3.731343283582089	0.005408153331963267	PF00045	5	178	27	1.0	3.704	0.4	0.0	0.6	9	7	11	Hemopexin	Hemopexin
272	32	11.76470588235294	0.03461218132456491	PF00046	27	68	10	1.19	11.9	0.85	0.33	0.0	4	4	2	Homeodomain	Homeodomain
121	7	5.785123966942149	0.007571414664748575	PF00047	7	84	17	1.0	5.882	0.29	0.57	0.14	8	7	2	Immunoglobulin domain	ig
41	5	12.195121951219512	0.005408153331963267	PF00048	4	59	10	1.25	12.5	0.75	0.25	0.25	4	4	2	Small cytokines (intecrine/chemokine), interleukin-8 like	IL8
32	1	3.125	0.0010816306663926534	PF00049	1	163	32	1.0	3.125	1.0	0.0	0.0	17	8	7	Insulin/IGF/Relaxin family	Insulin
62	2	3.225806451612903	0.0021632613327853068	PF00050	2	286	31	1.0	3.226	0.5	0.5	0.0	10	12	8	Kazal-type serine protease inhibitor domain	Kazal_1
130	4	3.076923076923077	0.0043265226655706136	PF00051	3	213	43	1.33	3.093	0.67	0.0	0.67	15	16	12	Kringle domain	Kringle
48	1	2.083333333333333	0.0010816306663926534	PF00052	1	282	48	1.0	2.083	1.0	0.0	0.0	23	9	16	Laminin B (Domain IV)	Laminin_B
213	3	1.4084507042253522	0.0032448919991779606	PF00053	2	664	106	1.5	1.415	0.0	1.0	0.5	44	37	26	Laminin EGF domain	Laminin_EGF
160	2	1.25	0.0021632613327853068	PF00054	2	477	80	1.0	1.25	1.0	0.0	0.0	39	30	12	Laminin G domain	Laminin_G_1
47	1	2.127659574468085	0.0010816306663926534	PF00055	1	247	47	1.0	2.128	0.0	1.0	0.0	20	15	12	Laminin N-terminal (Domain VI)	Laminin_N
120	10	8.333333333333332	0.010816306663926535	PF00056	6	141	20	1.67	8.35	1.33	0.17	0.17	10	7	3	lactate/malate dehydrogenase, NAD binding domain	Ldh_1_N
453	14	3.090507726269316	0.01514282932949715	PF00057	8	461	57	1.75	3.07	1.25	0.5	0.0	38	14	4	Low-density lipoprotein receptor domain class A	Ldl_recept_a
287	7	2.4390243902439024	0.007571414664748575	PF00058	5	353	57	1.4	2.456	1.0	0.4	0.0	23	23	12	Low-density lipoprotein receptor repeat class B	Ldl_recept_b
289	6	2.0761245674740483	0.006489783998355921	PF00059	6	264	48	1.0	2.083	0.5	0.5	0.0	26	14	8	Lectin C-type domain	Lectin_C
249	7	2.8112449799196786	0.007571414664748575	PF00060	5	273	50	1.4	2.8	0.6	0.6	0.2	25	15	10	Ligand-gated ion channel	Lig_chan
156	7	4.487179487179487	0.007571414664748575	PF00061	7	134	22	1.0	4.545	0.14	0.86	0.0	6	12	5	Lipocalin / cytosolic fatty-acid binding protein family	Lipocalin
2762	80	2.896451846488052	0.08653045331141228	PF00063	27	687	102	2.96	2.902	1.37	0.96	0.63	41	33	28	Myosin head (motor domain)	Myosin_head
2020	49	2.4257425742574257	0.052999902653240026	PF00067	32	460	63	1.53	2.429	1.09	0.41	0.03	28	24	12	Cytochrome P450	p450
7089	453	6.390181972069403	0.48997869187587206	PF00069	187	282	38	2.42	6.368	0.97	0.96	0.5	15	12	11	Protein kinase domain	Pkinase
10	3	30.0	0.0032448919991779606	PF00070	1	85	10	3.0	30.0	3.0	0.0	0.0	6	3	1	Pyridine nucleotide-disulphide oxidoreductase	Pyr_redox
1714	126	7.351225204200699	0.13628546396547433	PF00071	66	165	26	1.91	7.346	1.06	0.58	0.27	10	10	6	Ras family	Ras
1560	262	16.794871794871792	0.2833872345948752	PF00076	95	125	16	2.76	17.25	1.68	0.54	0.54	7	6	4	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RRM_1
720	18	2.5	0.019469351995067764	PF00079	13	346	55	1.38	2.509	1.08	0.15	0.15	26	20	9	Serpin (serine protease inhibitor)	Serpin
17	5	29.411764705882355	0.005408153331963267	PF00080	1	142	17	5.0	29.412	4.0	1.0	0.0	10	7	0	Copper/zinc superoxide dismutase (SODC)	Sod_Cu
120	2	1.6666666666666667	0.0021632613327853068	PF00082	2	363	60	1.0	1.667	0.5	0.0	0.5	30	20	10	Subtilase family	Peptidase_S8
691	13	1.881331403762663	0.014061198663104497	PF00083	10	420	69	1.3	1.884	0.9	0.4	0.0	32	24	13	Sugar (and other) transporter	Sugar_tr
1590	25	1.5723270440251573	0.02704076665981634	PF00084	18	453	88	1.39	1.58	0.89	0.33	0.17	38	29	21	Sushi repeat (SCR repeat)	Sushi
239	22	9.205020920502092	0.02379587466063838	PF00085	10	178	24	2.2	9.167	1.4	0.3	0.5	9	8	7	Thioredoxin	Thioredoxin
34	3	8.823529411764707	0.0032448919991779606	PF00086	2	103	17	1.5	8.824	0.5	1.0	0.0	7	6	4	Thyroglobulin type-1 repeat	Thyroglobulin_1
864	30	3.4722222222222223	0.03244891999177961	PF00089	24	232	36	1.25	3.472	0.67	0.33	0.25	16	12	8	Trypsin	Trypsin
331	13	3.927492447129909	0.014061198663104497	PF00090	11	160	30	1.18	3.933	0.55	0.55	0.09	18	10	2	Thrombospondin type 1 domain	TSP_1
635	105	16.535433070866144	0.11357121997122863	PF00091	18	211	35	5.83	16.657	3.11	2.39	0.33	14	13	8	Tubulin/FtsZ family, GTPase domain	Tubulin
1098	18	1.639344262295082	0.019469351995067764	PF00092	10	714	110	1.8	1.636	1.3	0.2	0.3	56	36	18	von Willebrand factor type A domain	VWA
458	5	1.0917030567685588	0.005408153331963267	PF00094	4	612	114	1.25	1.096	0.75	0.5	0.0	46	40	30	von Willebrand factor type D domain	VWD
32	4	12.5	0.0043265226655706136	PF00095	3	103	11	1.33	12.091	0.67	0.67	0.0	5	4	1	WAP-type (Whey Acidic Protein) 'four-disulfide core'	WAP
4714	166	3.5214255409418755	0.17955069062118048	PF00096	134	194	35	1.24	3.543	0.94	0.2	0.1	17	10	8	Zinc finger, C2H2 type	zf-C2H2
22	7	31.818181818181817	0.007571414664748575	PF00098	3	60	7	2.33	33.286	1.67	0.0	0.67	3	1	3	Zinc knuckle	zf-CCHC
101	5	4.9504950495049505	0.005408153331963267	PF00100	3	201	34	1.67	4.912	1.33	0.33	0.0	18	11	4	Zona pellucida-like domain	Zona_pellucida
879	22	2.502844141069397	0.02379587466063838	PF00102	16	350	55	1.38	2.509	0.81	0.12	0.44	18	20	17	Protein-tyrosine phosphatase	Y_phosphatase
71	2	2.8169014084507045	0.0021632613327853068	PF00103	2	210	36	1.0	2.778	0.5	0.5	0.0	19	9	8	Somatotropin hormone family	Hormone_1
276	11	3.985507246376811	0.01189793733031919	PF00104	11	187	25	1.0	4.0	0.73	0.27	0.0	14	8	4	Ligand-binding domain of nuclear hormone receptor	Hormone_recep
41	4	9.75609756097561	0.0043265226655706136	PF00105	4	70	10	1.0	10.0	0.5	0.25	0.25	4	3	3	Zinc finger, C4 type (two domains)	zf-C4
349	19	5.444126074498568	0.020550982661460417	PF00106	12	198	29	1.58	5.448	1.25	0.33	0.0	14	11	4	short chain dehydrogenase	adh_short
157	11	7.006369426751593	0.01189793733031919	PF00107	9	137	17	1.22	7.176	0.67	0.56	0.0	8	7	2	Zinc-binding dehydrogenase	ADH_zinc_N
164	5	3.048780487804878	0.005408153331963267	PF00108	4	252	41	1.25	3.049	0.75	0.25	0.25	20	16	5	Thiolase, N-terminal domain	Thiolase_N
78	6	7.6923076923076925	0.006489783998355921	PF00109	2	245	39	3.0	7.692	1.5	0.5	1.0	22	12	5	Beta-ketoacyl synthase, N-terminal domain	ketoacyl-synt
225	6	2.666666666666667	0.006489783998355921	PF00110	5	314	45	1.2	2.667	0.8	0.2	0.2	21	17	7	wnt family	wnt
9	1	11.11111111111111	0.0010816306663926534	PF00111	1	84	9	1.0	11.111	1.0	0.0	0.0	6	2	1	2Fe-2S iron-sulfur cluster binding domain	Fer2
45	1	2.2222222222222223	0.0010816306663926534	PF00112	1	250	45	1.0	2.222	1.0	0.0	0.0	22	10	13	Papain family cysteine protease	Peptidase_C1
105	19	18.095238095238095	0.020550982661460417	PF00113	3	291	35	6.33	18.086	4.0	1.0	1.33	15	12	8	Enolase, C-terminal TIM barrel domain	Enolase_C
51	2	3.9215686274509802	0.0021632613327853068	PF00117	2	238	26	1.0	3.846	0.0	0.0	1.0	12	8	6	Glutamine amidotransferase class-I	GATase
661	54	8.169440242057489	0.058408055985203294	PF00118	11	479	60	4.91	8.183	3.0	1.55	0.36	25	28	8	TCP-1/cpn60 chaperonin family	Cpn60_TCP1
29	17	58.620689655172406	0.01838772132867511	PF00121	1	239	29	17.0	58.621	10.0	6.0	1.0	11	14	4	Triosephosphate isomerase	TIM
400	20	5.0	0.02163261332785307	PF00122	13	210	31	1.54	4.968	0.92	0.31	0.31	11	15	5	E1-E2 ATPase	E1-E2_ATPase
6	1	16.666666666666664	0.0010816306663926534	PF00123	1	28	6	1.0	16.667	1.0	0.0	0.0	3	1	2	Peptide hormone	Hormone_2
490	151	30.816326530612244	0.1633262306252907	PF00125	26	107	19	5.81	30.579	3.31	1.15	1.35	9	6	4	Core histone H2A/H2B/H3/H4	Histone
157	7	4.45859872611465	0.007571414664748575	PF00128	4	254	39	1.75	4.487	0.0	1.5	0.25	18	8	13	Alpha amylase, catalytic domain	Alpha-amylase
95	5	5.263157894736842	0.005408153331963267	PF00129	3	179	32	1.67	5.219	0.33	0.67	0.67	10	10	12	Class I Histocompatibility antigen, domains alpha 1 and 2	MHC_I
58	7	12.068965517241379	0.007571414664748575	PF00130	7	68	8	1.0	12.5	0.71	0.29	0.0	4	4	1	Phorbol esters/diacylglycerol binding domain (C1 domain)	C1_1
11	1	9.090909090909092	0.0010816306663926534	PF00131	1	61	11	1.0	9.091	1.0	0.0	0.0	8	3	0	Metallothionein	Metallothio
476	17	3.571428571428571	0.01838772132867511	PF00133	5	632	95	3.4	3.579	1.8	0.8	0.8	38	33	24	tRNA synthetases class I (I, L, M and V)	tRNA-synt_1
66	6	9.090909090909092	0.006489783998355921	PF00134	4	132	16	1.5	9.375	0.75	0.5	0.25	7	5	5	Cyclin, N-terminal domain	Cyclin_N
321	4	1.2461059190031152	0.0043265226655706136	PF00135	4	541	80	1.0	1.25	0.25	0.5	0.25	32	30	19	Carboxylesterase family	COesterase
72	3	4.166666666666666	0.0032448919991779606	PF00136	1	433	72	3.0	4.167	2.0	1.0	0.0	33	21	18	DNA polymerase family B	DNA_pol_B
54	2	3.7037037037037033	0.0021632613327853068	PF00143	2	160	27	1.0	3.704	0.5	0.0	0.5	13	10	4	Interferon alpha/beta domain	Interferon
65	1	1.5384615384615385	0.0010816306663926534	PF00144	1	405	65	1.0	1.538	1.0	0.0	0.0	26	18	21	Beta-lactamase	Beta-lactamase
64	1	1.5625	0.0010816306663926534	PF00145	1	456	64	1.0	1.562	0.0	1.0	0.0	31	22	11	C-5 cytosine-specific DNA methylase	DNA_methylase
77	2	2.5974025974025974	0.0021632613327853068	PF00147	2	212	38	1.0	2.632	0.0	0.0	1.0	17	10	12	Fibrinogen beta and gamma chains, C-terminal globular domain	Fibrinogen_C
336	14	4.166666666666666	0.01514282932949715	PF00149	12	207	28	1.17	4.179	0.5	0.25	0.42	10	9	10	Calcineurin-like phosphoesterase	Metallophos
156	3	1.9230769230769231	0.0032448919991779606	PF00151	3	333	52	1.0	1.923	0.33	0.67	0.0	24	17	11	Lipase	Lipase
244	5	2.0491803278688523	0.005408153331963267	PF00152	5	355	49	1.0	2.041	0.8	0.0	0.2	16	19	14	tRNA synthetases class II (D, K and N) 	tRNA-synt_2
696	36	5.172413793103448	0.03893870399013553	PF00153	16	287	44	2.25	5.114	1.06	0.69	0.5	16	15	12	Mitochondrial carrier protein	Mito_carr
361	13	3.6011080332409975	0.014061198663104497	PF00155	7	376	52	1.86	3.577	1.0	0.43	0.43	24	15	13	Aminotransferase class I and II	Aminotran_1_2
40	5	12.5	0.005408153331963267	PF00156	2	154	20	2.5	12.5	2.0	0.5	0.0	8	7	5	Phosphoribosyl transferase domain	Pribosyltran
27	7	25.925925925925924	0.007571414664748575	PF00157	3	72	9	2.33	25.889	2.33	0.0	0.0	4	4	1	Pou domain - N-terminal to homeobox domain	Pou
360	27	7.5	0.029204027992601647	PF00160	16	157	22	1.69	7.682	0.75	0.75	0.19	8	11	4	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	Pro_isomerase
79	12	15.18987341772152	0.012979567996711842	PF00162	2	398	40	6.0	15.0	4.0	0.0	2.0	20	14	4	Phosphoglycerate kinase	PGK
8	3	37.5	0.0032448919991779606	PF00163	1	99	8	3.0	37.5	0.0	1.0	2.0	1	4	3	Ribosomal protein S4/S9 N-terminal domain	Ribosomal_S4
6	1	16.666666666666664	0.0010816306663926534	PF00164	1	114	6	1.0	16.667	1.0	0.0	0.0	3	2	1	Ribosomal protein S12/S23	Ribosom_S12_S23
12	6	50.0	0.006489783998355921	PF00166	1	93	12	6.0	50.0	2.0	2.0	2.0	5	4	3	Chaperonin 10 Kd subunit	Cpn10
72	3	4.166666666666666	0.0032448919991779606	PF00167	3	127	24	1.0	4.167	0.67	0.33	0.0	9	7	8	Fibroblast growth factor	FGF
1802	95	5.271920088790233	0.10275491330730209	PF00168	54	225	33	1.76	5.333	1.06	0.37	0.33	14	13	7	C2 domain	C2
1447	86	5.9433310297166555	0.0930202373097682	PF00169	68	135	21	1.26	6.0	0.76	0.31	0.19	10	7	5	PH domain	PH
45	9	20.0	0.009734675997533882	PF00170	8	63	6	1.12	18.667	0.75	0.25	0.12	3	2	1	bZIP transcription factor	bZIP_1
912	32	3.508771929824561	0.03461218132456491	PF00171	15	464	61	2.13	3.492	1.33	0.33	0.47	25	24	12	Aldehyde dehydrogenase family	Aldedh
28	4	14.285714285714285	0.0043265226655706136	PF00173	2	98	14	2.0	14.286	0.5	0.5	1.0	5	4	5	Cytochrome b5-like Heme/Steroid binding domain	Cyt-b5
12	1	8.333333333333332	0.0010816306663926534	PF00175	1	112	12	1.0	8.333	0.0	0.0	1.0	3	3	6	Oxidoreductase NAD-binding domain 	NAD_binding_1
832	28	3.3653846153846154	0.0302856586589943	PF00176	16	348	52	1.75	3.365	1.19	0.38	0.19	22	18	12	SNF2 family N-terminal domain	SNF2_N
35	4	11.428571428571429	0.0043265226655706136	PF00177	2	160	18	2.0	11.111	1.5	0.5	0.0	8	8	2	Ribosomal protein S7p/S5e	Ribosomal_S7
32	3	9.375	0.0032448919991779606	PF00178	3	82	11	1.0	9.091	0.33	0.33	0.33	3	2	6	Ets-domain	Ets
200	12	6.0	0.012979567996711842	PF00179	10	140	20	1.2	6.0	0.7	0.0	0.5	8	8	5	Ubiquitin-conjugating enzyme	UQ_con
210	8	3.8095238095238098	0.008653045331141227	PF00180	4	361	52	2.0	3.846	1.0	0.25	0.75	19	23	11	Isocitrate/isopropylmalate dehydrogenase	Iso_dh
6	1	16.666666666666664	0.0010816306663926534	PF00181	1	80	6	1.0	16.667	1.0	0.0	0.0	1	2	3	Ribosomal Proteins L2, RNA binding domain	Ribosomal_L2
539	101	18.738404452690165	0.10924469730565801	PF00183	10	376	54	10.1	18.704	4.4	2.3	3.4	23	17	14	Hsp90 protein	HSP90
48	4	8.333333333333332	0.0043265226655706136	PF00186	2	182	24	2.0	8.333	2.0	0.0	0.0	12	7	6	Dihydrofolate reductase	DHFR_1
24	2	8.333333333333332	0.0021632613327853068	PF00188	1	120	24	2.0	8.333	1.0	0.0	1.0	12	6	6	Cysteine-rich secretory protein family	CAP
9	1	11.11111111111111	0.0010816306663926534	PF00189	1	84	9	1.0	11.111	0.0	0.0	1.0	4	1	4	Ribosomal protein S3, C-terminal domain	Ribosomal_S3_C
597	75	12.562814070351758	0.08112229997944902	PF00191	12	287	50	6.25	12.5	2.58	1.67	2.0	20	17	13	Annexin	Annexin
29	2	6.896551724137931	0.0021632613327853068	PF00193	1	191	29	2.0	6.897	0.0	1.0	1.0	11	7	11	Extracellular link domain	Xlink
279	14	5.017921146953405	0.01514282932949715	PF00194	6	257	46	2.33	5.065	1.83	0.33	0.17	24	14	9	Eukaryotic-type carbonic anhydrase	Carb_anhydrase
66	3	4.545454545454546	0.0032448919991779606	PF00198	2	232	33	1.5	4.545	0.5	1.0	0.0	16	13	4	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	2-oxoacid_dh
6	1	16.666666666666664	0.0010816306663926534	PF00200	1	73	6	1.0	16.667	1.0	0.0	0.0	2	4	0	Disintegrin	Disintegrin
212	4	1.8867924528301887	0.0043265226655706136	PF00201	3	503	71	1.33	1.873	1.33	0.0	0.0	30	26	15	UDP-glucoronosyl and UDP-glucosyl transferase	UDPGT
156	4	2.564102564102564	0.0043265226655706136	PF00202	3	415	52	1.33	2.558	0.67	0.67	0.0	22	18	12	Aminotransferase class-III	Aminotran_3
9	1	11.11111111111111	0.0010816306663926534	PF00203	1	86	9	1.0	11.111	1.0	0.0	0.0	3	3	3	Ribosomal protein S19	Ribosomal_S19
23	2	8.695652173913043	0.0021632613327853068	PF00204	1	165	23	2.0	8.696	0.0	1.0	1.0	12	8	3	DNA gyrase B	DNA_gyraseB
43	3	6.976744186046512	0.0032448919991779606	PF00206	1	332	43	3.0	6.977	1.0	2.0	0.0	15	22	6	Lyase	Lyase_1
57	6	10.526315789473683	0.006489783998355921	PF00208	2	203	28	3.0	10.714	2.0	1.0	0.0	12	8	8	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	ELFV_dehydrog
93	1	1.0752688172043012	0.0010816306663926534	PF00209	1	576	93	1.0	1.075	0.0	1.0	0.0	35	32	26	Sodium:neurotransmitter symporter family	SNF
16	1	6.25	0.0010816306663926534	PF00210	1	142	16	1.0	6.25	1.0	0.0	0.0	6	3	7	Ferritin-like domain	Ferritin
87	2	2.2988505747126435	0.0021632613327853068	PF00211	2	284	44	1.0	2.273	0.5	0.0	0.5	18	14	11	Adenylate and Guanylate cyclase catalytic domain	Guanylate_cyc
33	1	3.0303030303030303	0.0010816306663926534	PF00213	1	173	33	1.0	3.03	0.0	0.0	1.0	17	12	4	ATP synthase delta (OSCP) subunit	OSCP
26	1	3.8461538461538463	0.0010816306663926534	PF00214	1	151	26	1.0	3.846	0.0	1.0	0.0	15	6	5	Calcitonin / CGRP / IAPP family	Calc_CGRP_IAPP
93	12	12.903225806451612	0.012979567996711842	PF00217	4	215	23	3.0	13.043	2.5	0.5	0.0	10	8	4	ATP:guanido phosphotransferase, C-terminal catalytic domain	ATP-gua_Ptrans
82	25	30.48780487804878	0.02704076665981634	PF00224	2	354	41	12.5	30.488	7.0	3.0	2.5	20	14	6	Pyruvate kinase, barrel domain	PK
1353	32	2.3651145602365116	0.03461218132456491	PF00225	22	337	62	1.45	2.339	0.77	0.64	0.05	28	22	11	Kinesin motor domain	Kinesin
119	15	12.605042016806722	0.016224459995889805	PF00226	13	63	9	1.15	12.778	0.62	0.15	0.38	3	1	5	DnaJ domain	DnaJ
462	26	5.627705627705628	0.028122397326208994	PF00227	14	187	33	1.86	5.636	0.71	0.29	0.86	13	11	9	Proteasome subunit	Proteasome
29	1	3.4482758620689653	0.0010816306663926534	PF00230	1	218	29	1.0	3.448	1.0	0.0	0.0	14	11	4	Major intrinsic protein	MIP
52	3	5.769230769230769	0.0032448919991779606	PF00231	1	271	52	3.0	5.769	2.0	1.0	0.0	25	16	11	ATP synthase	ATP-synt
432	2	0.4629629629629629	0.0021632613327853068	PF00232	2	1226	216	1.0	0.463	0.5	0.0	0.5	89	64	63	Glycosyl hydrolase family 1	Glyco_hydro_1
365	14	3.8356164383561646	0.01514282932949715	PF00233	11	237	33	1.27	3.848	1.09	0.09	0.09	14	13	7	3'5'-cyclic nucleotide phosphodiesterase	PDEase_I
47	16	34.04255319148936	0.017306090662282454	PF00235	2	139	24	8.0	33.333	3.0	3.0	2.0	8	9	6	Profilin	Profilin
21	1	4.761904761904762	0.0010816306663926534	PF00236	1	94	21	1.0	4.762	0.0	1.0	0.0	9	8	4	Glycoprotein hormone	Hormone_6
18	3	16.666666666666664	0.0032448919991779606	PF00237	1	135	18	3.0	16.667	2.0	0.0	1.0	7	7	4	Ribosomal protein L22p/L17e	Ribosomal_L22
24	3	12.5	0.0032448919991779606	PF00238	2	118	12	1.5	12.5	0.0	1.0	0.5	5	4	3	Ribosomal protein L14p/L23e	Ribosomal_L14
224	58	25.892857142857146	0.0627345786507739	PF00240	11	136	20	5.27	26.35	2.18	2.64	0.45	6	12	2	Ubiquitin family	ubiquitin
151	30	19.867549668874172	0.03244891999177961	PF00241	6	174	25	5.0	20.0	1.17	1.33	2.5	11	7	7	Cofilin/tropomyosin-type actin-binding protein	Cofilin_ADF
25	1	4.0	0.0010816306663926534	PF00243	1	114	25	1.0	4.0	0.0	1.0	0.0	9	12	4	Nerve growth factor family	NGF
266	71	26.691729323308273	0.0767957773138784	PF00244	7	223	38	10.14	26.684	5.0	2.71	2.43	16	11	11	14-3-3 protein	14-3-3
294	15	5.1020408163265305	0.016224459995889805	PF00245	4	437	74	3.75	5.068	2.75	1.0	0.0	27	30	16	Alkaline phosphatase	Alk_phosphatase
384	8	2.083333333333333	0.008653045331141227	PF00246	6	372	64	1.33	2.078	0.83	0.0	0.5	26	19	19	Zinc carboxypeptidase	Peptidase_M14
411	33	8.02919708029197	0.035693811990957565	PF00248	11	288	37	3.0	8.108	2.45	0.27	0.27	16	12	10	Aldo/keto reductase family	Aldo_ket_red
61	9	14.754098360655737	0.009734675997533882	PF00249	7	56	9	1.29	14.333	0.57	0.57	0.14	4	3	2	Myb-like DNA-binding domain	Myb_DNA-binding
158	9	5.69620253164557	0.009734675997533882	PF00250	9	87	18	1.0	5.556	0.78	0.11	0.11	9	3	5	Forkhead domain	Forkhead
26	5	19.230769230769234	0.005408153331963267	PF00252	2	155	13	2.5	19.231	1.5	0.0	1.0	7	3	3	Ribosomal protein L16p/L10e	Ribosomal_L16
